dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1T40_ID5,1t40,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T40_ID5_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1T40_ID5/1T40_ID5_protein.pdb,external/PoseBench/data/astex_diverse_set/1T40_ID5/1T40_ID5_ligand.sdf,True,True,True,True,True,sdf,O=C(O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1,O=C(NCc1nc2ccccc2s1)c1ccccc1,28.0,6.0,88.52000000000001,414.3360000000001,3.0,0.0,,1,316,,0.2808988764044944,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7MFP_Z7P,7mfp,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7MFP_Z7P_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7MFP_Z7P/7MFP_Z7P_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7MFP_Z7P/7MFP_Z7P_ligand.sdf,True,True,True,True,True,sdf,Cc1ncc(COP(=O)(O)O)c(/C=N/[C@H]2[C@H](O)[C@@H](O)[C@@H](O[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)O[C@@H]2C)c1O,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)OC3CCC(N=Cc4ccncc4)CO3)O2)c(=O)[nH]1,50.0,13.0,368.77,778.4470000000002,4.0,11.0,,4,1404,,0.5555555555555556,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7SNE_9XR,7sne,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7SNE_9XR_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7SNE_9XR/7SNE_9XR_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7SNE_9XR/7SNE_9XR_ligand.sdf,True,True,True,True,True,sdf,NC(=O)c1cccc(N[C@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,O=[PH](OCC1CCC(Nc2ccccc2)O1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,45.0,12.0,326.4099999999999,677.4569999999998,5.0,10.0,,4,722,,0.6621621621621622,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7L81_UD4,7l81,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7L81_UD4_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7L81_UD4/7L81_UD4_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7L81_UD4/7L81_UD4_ligand.sdf,True,True,True,True,True,sdf,CC(=O)N[C@H]1[C@@H](O[P@@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](C)[C@@H](N)[C@@H]1O,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)OC3CCCCO3)O2)c(=O)[nH]1,38.0,9.0,291.4199999999999,590.3720000000003,3.0,11.0,,1,216,,0.7972972972972973,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7NU0_DCL,7nu0,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7NU0_DCL_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7NU0_DCL/7NU0_DCL_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7NU0_DCL/7NU0_DCL_ligand.sdf,True,True,True,True,True,sdf,CC(C)C[C@H](N)CO,,8.0,3.0,46.25,117.19199999999998,0.0,1.0,,1,865,,1.0,False,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7TXK_LW8,7txk,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7TXK_LW8_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7TXK_LW8/7TXK_LW8_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7TXK_LW8/7TXK_LW8_ligand.sdf,True,True,True,True,True,sdf,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)O,S=c1[nH]cc[nH]1,15.0,4.0,68.88,230.313,1.0,1.0,,2,541,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8AIJ_M9I,8aij,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8AIJ_M9I_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8AIJ_M9I/8AIJ_M9I_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8AIJ_M9I/8AIJ_M9I_ligand.sdf,True,True,True,True,True,sdf,C[C@@H]1O[C@@H](NC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,O=C(NC1CCCCO1)c1ccccc1,19.0,2.0,99.02,267.281,2.0,5.0,,4,456,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7OLT_58J,7olt,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7OLT_58J_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7OLT_58J/7OLT_58J_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7OLT_58J/7OLT_58J_ligand.sdf,True,True,True,True,True,sdf,COc1ccc(/C=C2/C(=O)Nc3ccccc3C(=O)N2C)cc1,O=C1Nc2ccccc2C(=O)NC1=Cc1ccccc1,23.0,2.0,58.64,308.33700000000005,3.0,0.0,,1,288,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7FHA_ADX,7fha,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7FHA_ADX_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7FHA_ADX/7FHA_ADX_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7FHA_ADX/7FHA_ADX_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,c1ncc2ncn(C3CCCO3)c2n1,27.0,6.0,229.44,427.2880000000001,3.0,5.0,,2,781,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7KRU_ATP,7kru,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7KRU_ATP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7KRU_ATP/7KRU_ATP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7KRU_ATP/7KRU_ATP_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,c1ncc2ncn(C3CCCO3)c2n1,31.0,8.0,279.12999999999994,507.1820000000002,3.0,6.0,,2,1079,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7R3D_APR,7r3d,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7R3D_APR_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7R3D_APR/7R3D_APR_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7R3D_APR/7R3D_APR_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,O=[PH](OCC1CCCO1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,36.0,9.0,291.52,559.3180000000003,4.0,10.0,,2,768,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
