dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1N2V_BDI,1n2v,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N2V_BDI_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1N2V_BDI/1N2V_BDI_protein.pdb,external/PoseBench/data/astex_diverse_set/1N2V_BDI/1N2V_BDI_ligand.sdf,True,True,True,True,True,sdf,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,O=c1[nH][nH]c(=O)c2[nH]cnc12,15.0,3.0,94.4,208.221,2.0,0.0,,1,372,,0.2244897959183673,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7NA4_1I9,7na4,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7NA4_1I9_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7NA4_1I9/7NA4_1I9_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7NA4_1I9/7NA4_1I9_ligand.sdf,True,True,True,True,True,sdf,CCO[C@@H](c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1[C@H](C)[C@H]1CC[C@H](C)CC1)C1CC1,O=c1[nH]c(-c2cc3nc(CC4CC4)n(CC4CCCCC4)c3c(-c3cccnc3)n2)no1,38.0,8.0,111.72,537.0640000000001,6.0,2.0,,1,96,,0.2075471698113207,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7K0V_VQP,7k0v,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7K0V_VQP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7K0V_VQP/7K0V_VQP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7K0V_VQP/7K0V_VQP_ligand.sdf,True,True,True,True,True,sdf,Cc1cc(F)c(NC(=O)NCCC(C)(C)C)cc1Nc1ccc2ncn(C)c(=O)c2c1F,O=c1[nH]cnc2ccc(Nc3ccccc3)cc12,32.0,5.0,88.05000000000001,443.4980000000001,3.0,0.0,,4,1064,,0.2524271844660194,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ZYS_KNR,7zys,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ZYS_KNR_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7ZYS_KNR/7ZYS_KNR_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ZYS_KNR/7ZYS_KNR_ligand.sdf,True,True,True,True,True,sdf,CCCC[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)Cc2cccc(c2)CNC(=O)CNC(=O)[C@H](NC(=N)N)CCCCNC1=O,O=C1CCCCCNC(=O)CNC(=O)CNC(=O)Cc2cccc(c2)CNC(=O)CN1,44.0,8.0,233.42,615.7800000000005,2.0,3.0,,2,193,,0.2792792792792792,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6Z2C_Q5E,6z2c,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6Z2C_Q5E_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6Z2C_Q5E/6Z2C_Q5E_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6Z2C_Q5E/6Z2C_Q5E_ligand.sdf,True,True,True,True,True,sdf,O=C(O)CCCCCN1C(=O)[C@@H]2[C@H](C1=O)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,O=C1NC(=O)C2C3C=CC(C3)C12,26.0,6.0,74.68,483.9900000000004,3.0,4.0,,3,531,,0.3,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6XUM_30L,6xum,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6XUM_30L_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/6XUM_30L/6XUM_30L_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6XUM_30L/6XUM_30L_ligand.sdf,True,True,True,True,True,sdf,O=C(O)COc1cc(F)ccc1C(=O)NCc1cccc([N+](=O)[O-])c1,O=C(NCc1ccccc1)c1ccccc1,25.0,7.0,118.77000000000002,348.2860000000001,2.0,0.0,,1,316,,0.3283582089552239,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8AJX_FUM,8ajx,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8AJX_FUM_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8AJX_FUM/8AJX_FUM_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8AJX_FUM/8AJX_FUM_ligand.sdf,True,True,True,True,True,sdf,O=C(O)/C=C/C(=O)O,,8.0,2.0,74.6,116.072,0.0,0.0,,1,240,,0.375,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6YDY_K73,6ydy,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6YDY_K73_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/6YDY_K73/6YDY_K73_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6YDY_K73/6YDY_K73_ligand.sdf,True,True,True,True,True,sdf,NCc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H](N)Cc2ccccc2)cc1,O=C(NCc1ccccc1)C1CCCN1C(=O)CCc1ccccc1,28.0,7.0,101.45000000000002,380.49200000000025,3.0,2.0,,1,223,,0.4461538461538462,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7P2I_MFU,7p2i,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7P2I_MFU_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7P2I_MFU/7P2I_MFU_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7P2I_MFU/7P2I_MFU_ligand.sdf,True,True,True,True,True,sdf,CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,C1CCOCC1,12.0,1.0,79.15,178.184,1.0,5.0,,3,262,,0.5,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7C0U_FGO,7c0u,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7C0U_FGO_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7C0U_FGO/7C0U_FGO_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7C0U_FGO/7C0U_FGO_ligand.sdf,True,True,True,True,True,sdf,Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[C@H]3[C@@H](O)[C@H](n4ccc(=O)[nH]c4=O)O[C@@H]3CO)[C@H]3CC(O)(O)C[C@H]32)c(=O)[nH]1,O=c1ccn(C2CC(O[PH](=O)OCC3OC(n4cnc5c(=O)[nH]cnc54)C4CCCC34)CO2)c(=O)[nH]1,43.0,8.0,299.5899999999999,629.476,6.0,9.0,,2,794,,0.6046511627906976,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6XCT_478,6xct,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6XCT_478_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6XCT_478/6XCT_478_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6XCT_478/6XCT_478_ligand.sdf,True,True,True,True,True,sdf,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,O=C(NC(CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)OC1CCOC1,35.0,11.0,131.19,505.6370000000002,3.0,3.0,,1,322,,0.7236842105263158,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ODX_DGP,7odx,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ODX_DGP_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7ODX_DGP/7ODX_DGP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ODX_DGP/7ODX_DGP_ligand.sdf,True,True,True,True,True,sdf,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,O=c1[nH]cnc2c1ncn2C1CCCO1,23.0,4.0,185.81,347.2240000000001,3.0,3.0,,1,350,,0.847457627118644,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ZCC_OGA,7zcc,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ZCC_OGA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ZCC_OGA/7ZCC_OGA_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ZCC_OGA/7ZCC_OGA_ligand.sdf,True,True,True,True,True,sdf,O=C(O)CNC(=O)C(=O)O,,10.0,2.0,103.7,147.08599999999998,0.0,0.0,,4,1301,,1.0,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7NR6_UO8,7nr6,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7NR6_UO8_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7NR6_UO8/7NR6_UO8_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7NR6_UO8/7NR6_UO8_ligand.sdf,True,True,True,True,True,sdf,Nc1nc(=S)c2ncn(C3CCCCC3)c2[nH]1,S=c1nc[nH]c2c1ncn2C1CCCCC1,17.0,1.0,72.52,249.343,3.0,0.0,,2,306,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8D19_GSH,8d19,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8D19_GSH_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8D19_GSH/8D19_GSH_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8D19_GSH/8D19_GSH_ligand.sdf,True,True,True,True,True,sdf,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,,20.0,9.0,158.82,307.3280000000001,0.0,2.0,,2,800,,1.0,False,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7SFO_98L,7sfo,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7SFO_98L_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7SFO_98L/7SFO_98L_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7SFO_98L/7SFO_98L_ligand.sdf,True,True,True,True,True,sdf,Oc1cccc(CNc2nc(Cl)nc3scc(-c4ccccc4)c23)c1,c1ccc(CNc2ncnc3scc(-c4ccccc4)c23)cc1,25.0,4.0,58.040000000000006,367.8610000000001,4.0,0.0,,4,466,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7N7H_CTP,7n7h,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7N7H_CTP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7N7H_CTP/7N7H_CTP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7N7H_CTP/7N7H_CTP_ligand.sdf,True,True,True,True,True,sdf,Nc1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,O=c1ncccn1C1CCCO1,29.0,8.0,270.42,483.1560000000001,2.0,6.0,,1,289,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7UJF_R3V,7ujf,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7UJF_R3V_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7UJF_R3V/7UJF_R3V_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7UJF_R3V/7UJF_R3V_ligand.sdf,True,True,True,True,True,sdf,C[C@H]1CCN(CCOc2ccc([C@@H]3c4ccc(O)cc4CC[C@@H]3c3ccccc3)cc2)C1,c1ccc(C2CCc3ccccc3C2c2ccc(OCCN3CCCC3)cc2)cc1,32.0,6.0,32.7,427.58800000000025,5.0,3.0,,4,938,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7F51_BA7,7f51,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7F51_BA7_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7F51_BA7/7F51_BA7_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7F51_BA7/7F51_BA7_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](O)[C@H](OC(=O)c3ccccc3)[C@@H]2O)[C@@H](O)[C@H]1O,O=C(OC1COC(CO[PH](=O)O[PH](=O)OCC2CCC(n3cnc4cncnc43)O2)C1)c1ccccc1,44.0,11.0,297.59,663.4260000000004,5.0,10.0,,1,287,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
