taxonomy_category,panel_use,priority_rank,case_id,dataset,method,target,ligand,memory_score,rmsd_official,rmsd_selected,delta_rmsd,mechanism_signal,visual_check_required,source_table
chemistry_validity_failure,main_or_supp_failure_taxonomy,2,,runs_n_poses,chai,8rkq__1__1.A__1.E,1.E,0.2201963944506418,42.59156799316406,,,failure_risk=0.997878572397108; pb_valid=False; clash_density=0.0192307692307692,True,failure_detector_predictions
chemistry_validity_failure,main_or_supp_failure_taxonomy,3,,runs_n_poses,chai,8qnh__1__1.A__1.B,1.B,0.276272927542405,26.26746940612793,,,failure_risk=0.99778733014569; pb_valid=False; clash_density=0.0,True,failure_detector_predictions
chemistry_validity_failure,main_or_supp_failure_taxonomy,4,,runs_n_poses,af3_no_template,7xxm__1__1.A_1.B_1.C__1.K,1.K,0.1416398960781412,7.532651901245117,,,failure_risk=0.9975706679874908; pb_valid=False; clash_density=0.0,True,failure_detector_predictions
chemistry_validity_failure,main_or_supp_failure_taxonomy,5,,runs_n_poses,af3,8tjc__1__1.A__1.K,1.K,0.5384344255295501,14.620896339416504,,,failure_risk=0.9975369437501016; pb_valid=False; clash_density=0.0344827586206896,True,failure_detector_predictions
high_confidence_wrong_low_memory,main_or_supp_failure_taxonomy,1,,runs_n_poses,boltz1x,8g69__1__1.A__1.C,1.C,0.3050369297289834,21.499998092651367,,,failure_risk=0.9990922884175548; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
high_confidence_wrong_low_memory,main_or_supp_failure_taxonomy,2,,runs_n_poses,boltz,8g69__1__1.A__1.C,1.C,0.3050369297289834,20.99537849426269,,,failure_risk=0.9990922884175548; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
high_confidence_wrong_low_memory,main_or_supp_failure_taxonomy,3,,runs_n_poses,chai,8p1p__1__1.A__1.E,1.E,0.310541540702914,17.34786033630371,,,failure_risk=0.9985559181694178; pb_valid=False; clash_density=0.0,True,failure_detector_predictions
high_confidence_wrong_low_memory,main_or_supp_failure_taxonomy,4,,runs_n_poses,af3,8oqp__1__1.D__1.PA,1.PA,0.3163108067407868,21.03720474243164,,,failure_risk=0.9985534678463838; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
high_confidence_wrong_low_memory,main_or_supp_failure_taxonomy,5,,runs_n_poses,af3,8oqn__1__1.A_1.D__1.I,1.I,0.1625317210047051,20.213956832885746,,,failure_risk=0.998492231076716; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
memorization_shortcut_high_memory_success,main_or_supp_failure_taxonomy,1,,runs_n_poses,protenix,7wlw__1__1.A__1.I,1.I,0.9646484153959064,1.2726558446884155,,,failure_risk=0.9563004984105052; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
memorization_shortcut_high_memory_success,main_or_supp_failure_taxonomy,2,,runs_n_poses,af3_no_template,7wlw__1__1.A__1.I,1.I,0.9646484153959064,1.0154482126235962,,,failure_risk=0.9304600888585732; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
memorization_shortcut_high_memory_success,main_or_supp_failure_taxonomy,3,,runs_n_poses,boltz,8b80__1__1.A__1.F_1.G,1.F,0.9788244854720066,1.0498732328414917,,,failure_risk=0.8817941277262735; pb_valid=False; clash_density=0.0,True,failure_detector_predictions
memorization_shortcut_high_memory_success,main_or_supp_failure_taxonomy,4,,runs_n_poses,boltz1x,7sxj__1__1.A__1.C,1.C,0.9852025249868492,0.8070904016494751,,,failure_risk=0.8782042657846855; pb_valid=True; clash_density=0.0,True,failure_detector_predictions
memorization_shortcut_high_memory_success,main_or_supp_failure_taxonomy,5,,runs_n_poses,boltz2,8c7r__1__1.A__1.C_1.D,1.D,0.9112815201933512,0.6420540809631348,,,failure_risk=0.8679909395021265; pb_valid=nan; clash_density=0.0,True,failure_detector_predictions
anti_memory_failure_boundary,supplement_failure_pair,1,,runs_n_poses,chai,8ivt__1__1.A_1.B__1.F,1.F,0.3347984178695694,1.6857473850250244,4.8481059074401855,3.162358522415161,interaction_f1=0.6666666666666666; mapping_cost=16.020721589935615,True,trans_case_figure_priority
