mol_id,gpu,pid,log_path,tag,command,start_time
8EA6_ZWA,4,3156187,logs/posex_diffdock_default_s10_t20_8EA6_ZWA.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8EA6_ZWA --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053246.1262467
7NGY_UAK,6,3156188,logs/posex_diffdock_default_s10_t20_7NGY_UAK.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7NGY_UAK --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053246.1275375
9CE4_UU6,7,3156384,logs/posex_diffdock_default_s10_t20_9CE4_UU6.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 9CE4_UU6 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053251.1344872
8OHT_SJ5,0,3156612,logs/posex_diffdock_default_s10_t20_8OHT_SJ5.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8OHT_SJ5 --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053266.1505353
8SIV_UUF,2,3156732,logs/posex_diffdock_default_s10_t20_8SIV_UUF.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8SIV_UUF --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053271.157514
5SB2_1IM,3,3156851,logs/posex_diffdock_default_s10_t20_5SB2_1IM.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SB2_1IM --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053276.164411
7RH1_5A4,4,3157024,logs/posex_diffdock_default_s10_t20_7RH1_5A4.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7RH1_5A4 --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053286.1761377
7GZY_A1AK4,6,3157120,logs/posex_diffdock_default_s10_t20_7GZY_A1AK4.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GZY_A1AK4 --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053291.182706
7GL3_X77,7,3157210,logs/posex_diffdock_default_s10_t20_7GL3_X77.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GL3_X77 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053296.1894426
8V73_YIB,0,3157431,logs/posex_diffdock_default_s10_t20_8V73_YIB.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8V73_YIB --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053311.2062392
7FEU_6NA,2,3157432,logs/posex_diffdock_default_s10_t20_7FEU_6NA.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FEU_6NA --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053311.2074702
7FVW_GFS,3,3157625,logs/posex_diffdock_default_s10_t20_7FVW_GFS.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FVW_GFS --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053316.2144613
7M9G_K2E,4,3157742,logs/posex_diffdock_default_s10_t20_7M9G_K2E.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7M9G_K2E --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053321.22113
7GC0_L7F,6,3157973,logs/posex_diffdock_default_s10_t20_7GC0_L7F.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GC0_L7F --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053336.2379975
8OUA_W26,7,3158128,logs/posex_diffdock_default_s10_t20_8OUA_W26.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8OUA_W26 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053346.2499378
7FU0_YMO,0,3158129,logs/posex_diffdock_default_s10_t20_7FU0_YMO.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FU0_YMO --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053346.2512422
7RH0_57I,2,3158301,logs/posex_diffdock_default_s10_t20_7RH0_57I.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7RH0_57I --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053351.2577605
7FU0_YMI,3,3158392,logs/posex_diffdock_default_s10_t20_7FU0_YMI.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FU0_YMI --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053356.2644527
7NEO_S1U,4,3158623,logs/posex_diffdock_default_s10_t20_7NEO_S1U.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7NEO_S1U --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053371.2809339
7FU4_YUF,6,3158740,logs/posex_diffdock_default_s10_t20_7FU4_YUF.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FU4_YUF --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053376.2875834
9FCL_SAH,7,3158908,logs/posex_diffdock_default_s10_t20_9FCL_SAH.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 9FCL_SAH --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053386.29925
7RWF_8IQ,0,3158909,logs/posex_diffdock_default_s10_t20_7RWF_8IQ.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7RWF_8IQ --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053386.3005812
8B5G_37T,2,3159111,logs/posex_diffdock_default_s10_t20_8B5G_37T.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8B5G_37T --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053391.3071666
7SDD_IHP,3,3159285,logs/posex_diffdock_default_s10_t20_7SDD_IHP.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7SDD_IHP --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053401.3184144
8AOP_7SE,4,3159475,logs/posex_diffdock_default_s10_t20_8AOP_7SE.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8AOP_7SE --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053421.340357
5SFE_KHU,6,3159476,logs/posex_diffdock_default_s10_t20_5SFE_KHU.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SFE_KHU --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053421.3416119
7V13_OQ6,7,3159674,logs/posex_diffdock_default_s10_t20_7V13_OQ6.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V13_OQ6 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053426.3485262
8GFD_ZMB,0,3159675,logs/posex_diffdock_default_s10_t20_8GFD_ZMB.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8GFD_ZMB --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053426.3497925
7FUB_YME,2,3159676,logs/posex_diffdock_default_s10_t20_7FUB_YME.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FUB_YME --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053426.3507977
7HG0_A1A34,3,3160160,logs/posex_diffdock_default_s10_t20_7HG0_A1A34.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7HG0_A1A34 --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053451.3777254
7EGO_6NA,4,3160276,logs/posex_diffdock_default_s10_t20_7EGO_6NA.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7EGO_6NA --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053456.3846028
8PT0_N9F,6,3160459,logs/posex_diffdock_default_s10_t20_8PT0_N9F.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8PT0_N9F --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053471.4015346
5SB1_1K2,7,3160460,logs/posex_diffdock_default_s10_t20_5SB1_1K2.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SB1_1K2 --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053471.4028575
8TQN_EPE,0,3160631,logs/posex_diffdock_default_s10_t20_8TQN_EPE.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8TQN_EPE --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053476.40942
7RH1_59O,2,3160632,logs/posex_diffdock_default_s10_t20_7RH1_59O.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7RH1_59O --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053476.410658
7V13_OR0,3,3160888,logs/posex_diffdock_default_s10_t20_7V13_OR0.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V13_OR0 --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053486.4227421
7GCJ_LDX,4,3161024,logs/posex_diffdock_default_s10_t20_7GCJ_LDX.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GCJ_LDX --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053491.429664
7SI5_9JL,6,3161318,logs/posex_diffdock_default_s10_t20_7SI5_9JL.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7SI5_9JL --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053511.4519417
7GCE_L5I,7,3161319,logs/posex_diffdock_default_s10_t20_7GCE_L5I.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GCE_L5I --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053511.4532623
7FBF_4I1,0,3161529,logs/posex_diffdock_default_s10_t20_7FBF_4I1.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FBF_4I1 --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053516.4602911
5SKP_IYW,2,3161530,logs/posex_diffdock_default_s10_t20_5SKP_IYW.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SKP_IYW --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053516.4611936
7EGO_OCA,3,3161826,logs/posex_diffdock_default_s10_t20_7EGO_OCA.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7EGO_OCA --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053531.4743426
7H00_A1AK7,4,3161918,logs/posex_diffdock_default_s10_t20_7H00_A1AK7.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7H00_A1AK7 --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053536.4810035
7VS1_37T,6,3162149,logs/posex_diffdock_default_s10_t20_7VS1_37T.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7VS1_37T --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053551.4978983
8BK0_R0O,7,3162268,logs/posex_diffdock_default_s10_t20_8BK0_R0O.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8BK0_R0O --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053556.504688
8XGV_SIU,0,3162388,logs/posex_diffdock_default_s10_t20_8XGV_SIU.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8XGV_SIU --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053561.510664
7FUO_YOB,2,3162512,logs/posex_diffdock_default_s10_t20_7FUO_YOB.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FUO_YOB --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053566.5175526
7GZY_A1ALQ,3,3162641,logs/posex_diffdock_default_s10_t20_7GZY_A1ALQ.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GZY_A1ALQ --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053571.5243642
7FUB_YOB,4,3162766,logs/posex_diffdock_default_s10_t20_7FUB_YOB.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FUB_YOB --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053576.531004
7FCX_X90,6,3162943,logs/posex_diffdock_default_s10_t20_7FCX_X90.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FCX_X90 --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053586.542817
7LDY_K2D,7,3163091,logs/posex_diffdock_default_s10_t20_7LDY_K2D.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7LDY_K2D --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053601.559774
7YYB_I7L,0,3163210,logs/posex_diffdock_default_s10_t20_7YYB_I7L.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7YYB_I7L --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053606.5666175
7V13_OTL,2,3163372,logs/posex_diffdock_default_s10_t20_7V13_OTL.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V13_OTL --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053616.5782928
7FVW_KWX,3,3163373,logs/posex_diffdock_default_s10_t20_7FVW_KWX.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FVW_KWX --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053616.5796127
7FU0_YQ3,4,3163577,logs/posex_diffdock_default_s10_t20_7FU0_YQ3.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7FU0_YQ3 --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053621.5865226
5SI1_JIC,6,3163578,logs/posex_diffdock_default_s10_t20_5SI1_JIC.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SI1_JIC --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053621.5878556
8OV7_5IE,7,3163964,logs/posex_diffdock_default_s10_t20_8OV7_5IE.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8OV7_5IE --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053646.6145627
7V0Z_ORU,0,3163965,logs/posex_diffdock_default_s10_t20_7V0Z_ORU.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V0Z_ORU --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053646.615944
8SIX_ZXH,2,3164128,logs/posex_diffdock_default_s10_t20_8SIX_ZXH.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8SIX_ZXH --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053651.6223342
7GBY_L4N,3,3164275,logs/posex_diffdock_default_s10_t20_7GBY_L4N.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GBY_L4N --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053661.6340039
7M9G_065,4,3164400,logs/posex_diffdock_default_s10_t20_7M9G_065.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7M9G_065 --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053666.6408215
7GZZ_A1AK5,6,3164401,logs/posex_diffdock_default_s10_t20_7GZZ_A1AK5.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GZZ_A1AK5 --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053666.6421466
7BC9_AXV,7,3164776,logs/posex_diffdock_default_s10_t20_7BC9_AXV.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7BC9_AXV --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053691.6678963
7PHZ_R7F,0,3164777,logs/posex_diffdock_default_s10_t20_7PHZ_R7F.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7PHZ_R7F --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053691.6688838
8E81_ZXP,2,3164971,logs/posex_diffdock_default_s10_t20_8E81_ZXP.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8E81_ZXP --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053696.6755428
7V15_OT7,3,3165090,logs/posex_diffdock_default_s10_t20_7V15_OT7.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7V15_OT7 --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053701.6822827
7HGA_ZQD,4,3165225,logs/posex_diffdock_default_s10_t20_7HGA_ZQD.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7HGA_ZQD --gpu 4 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053706.6894028
8H7N_WZ0,6,3165324,logs/posex_diffdock_default_s10_t20_8H7N_WZ0.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8H7N_WZ0 --gpu 6 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053711.6958687
9FQH_WUQ,7,3165552,logs/posex_diffdock_default_s10_t20_9FQH_WUQ.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 9FQH_WUQ --gpu 7 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053731.7172177
5SFE_IZ6,0,3165706,logs/posex_diffdock_default_s10_t20_5SFE_IZ6.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 5SFE_IZ6 --gpu 0 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053741.7286556
7GZZ_A1ALS,2,3165707,logs/posex_diffdock_default_s10_t20_7GZZ_A1ALS.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 7GZZ_A1ALS --gpu 2 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053741.729901
8GEZ_ZHE,3,3165913,logs/posex_diffdock_default_s10_t20_8GEZ_ZHE.log,default_s10_t20,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/79_run_posex_diffdock_case.py --case-id 8GEZ_ZHE --gpu 3 --tag default_s10_t20 --samples 10 --steps 20 --timeout 10800,1779053746.7368753
