dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1YWR_LI9,1ywr,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YWR_LI9_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1YWR_LI9/1YWR_LI9_protein.pdb,external/PoseBench/data/astex_diverse_set/1YWR_LI9/1YWR_LI9_ligand.sdf,True,True,True,True,True,sdf,C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C3CCNCC3)n2C)n1)c1ccccc1,O=c1c(-c2ccccc2)c(-c2ccnc(NCc3ccccc3)n2)[nH]n1C1CCNCC1,35.0,6.0,76.77000000000001,472.5680000000001,5.0,1.0,,1,338,,0.2758620689655172,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8DHG_T78,8dhg,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8DHG_T78_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8DHG_T78/8DHG_T78_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8DHG_T78/8DHG_T78_ligand.sdf,True,True,True,True,True,sdf,CCn1c(CO)nn(-c2nc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)ccnc3Cl)cc2F)c1=O,O=C(Nc1cccnc1)c1ccc(-n2nc[nH]c2=O)nc1,35.0,7.0,124.16,518.8550000000001,3.0,1.0,,1,359,,0.2417582417582417,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7UYB_OK0,7uyb,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7UYB_OK0_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7UYB_OK0/7UYB_OK0_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7UYB_OK0/7UYB_OK0_ligand.sdf,True,True,True,True,True,sdf,NS(=O)(=O)c1c(C(F)(F)F)ccc(-c2ccc(C3CCNCC3)cc2)c1-c1nnn[nH]1,c1ccc(-c2nnn[nH]2)c(-c2ccc(C3CCNCC3)cc2)c1,31.0,4.0,126.65,452.4620000000001,4.0,0.0,,1,231,,0.2631578947368421,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8BN6_R53,8bn6,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8BN6_R53_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8BN6_R53/8BN6_R53_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8BN6_R53/8BN6_R53_ligand.sdf,True,True,True,True,True,sdf,Cc1[nH]c(C(=O)Nc2nc3c(N4CCOCC4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,O=C(Nc1nc2c(N3CCOCC3)cccc2s1)c1ccc[nH]1,29.0,4.0,107.55,455.3230000000002,4.0,0.0,,1,206,,0.2873563218390804,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7PRM_81I,7prm,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7PRM_81I_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7PRM_81I/7PRM_81I_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7PRM_81I/7PRM_81I_ligand.sdf,True,True,True,True,True,sdf,O=C(c1ccco1)N1CCN([C@@H]2CC(=O)N(c3ccc(-c4ccc(F)cc4)cc3)C2)CC1,O=C(c1ccco1)N1CCN(C2CC(=O)N(c3ccc(-c4ccccc4)cc3)C2)CC1,32.0,4.0,57.00000000000001,433.4830000000002,5.0,1.0,,1,295,,0.3088235294117647,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7AMC_73B,7amc,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7AMC_73B_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7AMC_73B/7AMC_73B_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7AMC_73B/7AMC_73B_ligand.sdf,True,True,True,True,True,sdf,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,c1ccc(NC2CCNc3ccc(-c4ccccc4)cc32)cc1,31.0,4.0,69.64,434.9230000000002,4.0,2.0,,2,230,,0.34,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6ZR8_QOZ,6zr8,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6ZR8_QOZ_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/6ZR8_QOZ/6ZR8_QOZ_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6ZR8_QOZ/6ZR8_QOZ_ligand.sdf,True,True,True,True,True,sdf,NS(=O)(=O)c1ccc(NC(=O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,O=C(CN1CCN(C(c2ccccc2)c2ccccc2)CC1)Nc1ccccc1,33.0,7.0,95.74,464.59100000000007,4.0,0.0,,1,260,,0.3962264150943396,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7LZQ_YJV,7lzq,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7LZQ_YJV_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7LZQ_YJV/7LZQ_YJV_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7LZQ_YJV/7LZQ_YJV_ligand.sdf,True,True,True,True,True,sdf,Cn1ccc2c(ccn2CC(=O)Nc2ccncc2Cl)c1=O,O=C(Cn1ccc2c(=O)[nH]ccc21)Nc1ccncc1,22.0,3.0,68.92,316.74800000000005,3.0,0.0,,1,128,,0.4677419354838709,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6ZAE_ACV,6zae,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6ZAE_ACV_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6ZAE_ACV/6ZAE_ACV_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6ZAE_ACV/6ZAE_ACV_ligand.sdf,True,True,True,True,True,sdf,CC(C)[C@@H](NC(=O)[C@H](CS)NC(=O)CCC[C@H](N)C(=O)O)C(=O)O,,24.0,11.0,158.82,363.436,0.0,3.0,,1,328,,0.5416666666666666,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7UEY_N0R,7uey,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7UEY_N0R_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7UEY_N0R/7UEY_N0R_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7UEY_N0R/7UEY_N0R_ligand.sdf,True,True,True,True,True,sdf,O=C(CO)Nc1ccc(CC(=O)N2CCN(c3ccc(Cl)nn3)CC2)cc1,O=C(Cc1ccccc1)N1CCN(c2cccnn2)CC1,27.0,5.0,98.66,389.8430000000001,3.0,0.0,,1,352,,0.6481481481481481,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7TWC_CXS,7twc,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7TWC_CXS_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7TWC_CXS/7TWC_CXS_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7TWC_CXS/7TWC_CXS_ligand.sdf,True,True,True,True,True,sdf,O=S(=O)(O)CCCNC1CCCCC1,C1CCCCC1,14.0,5.0,66.4,221.32199999999995,1.0,0.0,,1,409,,0.7857142857142857,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ODY_DGI,7ody,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ODY_DGI_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ODY_DGI/7ODY_DGI_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ODY_DGI/7ODY_DGI_ligand.sdf,True,True,True,True,True,sdf,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,O=c1[nH]cnc2c1ncn2C1CCCO1,27.0,6.0,232.34000000000003,427.2030000000002,3.0,4.0,,4,385,,0.9824561403508772,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7VQ9_ISY,7vq9,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7VQ9_ISY_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7VQ9_ISY/7VQ9_ISY_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7VQ9_ISY/7VQ9_ISY_ligand.sdf,True,True,True,True,True,sdf,C=C(C)CCS[P@@](=O)(O)OP(=O)(O)O,,14.0,6.0,104.06000000000002,262.16,0.0,1.0,,2,409,,1.0,False,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7JG0_GAR,7jg0,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7JG0_GAR_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7JG0_GAR/7JG0_GAR_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7JG0_GAR/7JG0_GAR_ligand.sdf,True,True,True,True,True,sdf,NCC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,C1CCOC1,18.0,5.0,177.23000000000002,284.161,1.0,4.0,,1,200,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8AP0_PRP,8ap0,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8AP0_PRP_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8AP0_PRP/8AP0_PRP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8AP0_PRP/8AP0_PRP_ligand.sdf,True,True,True,True,True,sdf,O=P(O)(O)OC[C@H]1O[C@H](O[P@@](=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,C1CCOC1,22.0,7.0,229.73999999999995,390.06700000000006,1.0,5.0,,1,332,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8EX2_Q2Q,8ex2,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8EX2_Q2Q_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8EX2_Q2Q/8EX2_Q2Q_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8EX2_Q2Q/8EX2_Q2Q_ligand.sdf,True,True,True,True,True,sdf,O=C1CC(c2ccccc2)=Nc2c(-c3ccccc3)c(C(F)(F)F)nn21,O=C1CC(c2ccccc2)=Nc2c(-c3ccccc3)cnn21,26.0,2.0,47.25,355.319,4.0,0.0,,1,273,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7X5N_5M5,7x5n,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7X5N_5M5_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7X5N_5M5/7X5N_5M5_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7X5N_5M5/7X5N_5M5_ligand.sdf,True,True,True,True,True,sdf,Cc1n[nH]c2c1[C@](c1cc(CO)cc(-c3ccccc3)c1)(C(C)C)C(C#N)=C(N)O2,C1=CC(c2cccc(-c3ccccc3)c2)c2cn[nH]c2O1,30.0,4.0,107.95000000000002,400.48200000000014,4.0,1.0,,2,820,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7TXP_0FX,7txp,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7TXP_0FX_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7TXP_0FX/7TXP_0FX_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7TXP_0FX/7TXP_0FX_ligand.sdf,True,True,True,True,True,sdf,Cc1cn([C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)O[P@@](=O)(O)O[C@H]3O[C@H](C)[C@@H](N)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)OC3CCCCO3)O2)c(=O)[nH]1,35.0,8.0,262.31999999999994,547.3470000000003,3.0,10.0,,1,209,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
