dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1KZK_JE2,1kzk,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1KZK_JE2_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1KZK_JE2/1KZK_JE2_protein.pdb,external/PoseBench/data/astex_diverse_set/1KZK_JE2/1KZK_JE2_ligand.sdf,True,True,True,True,True,sdf,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C,O=C(NC(CC(=O)N1CSCC1C(=O)NCc1ccccc1)Cc1ccccc1)c1ccccc1,41.0,9.0,118.97,575.7310000000002,4.0,3.0,,2,198,,0.2391304347826087,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7MYU_ZR7,7myu,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7MYU_ZR7_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7MYU_ZR7/7MYU_ZR7_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7MYU_ZR7/7MYU_ZR7_ligand.sdf,True,True,True,True,True,sdf,COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,O=C(Nc1cccc(C23CN(c4ncccn4)CC2CSC=N3)c1)c1cnccn1,35.0,5.0,131.51,498.5190000000002,5.0,2.0,,2,779,,0.2307692307692307,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8ERS_WQO,8ers,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8ERS_WQO_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8ERS_WQO/8ERS_WQO_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8ERS_WQO/8ERS_WQO_ligand.sdf,True,True,True,True,True,sdf,Nc1ccc(C(=O)O[C@H]2c3ccccc3C[C@@H]2C(=O)O)c(O)c1,O=C(OC1CCc2ccccc21)c1ccccc1,23.0,3.0,109.85,313.309,3.0,2.0,,2,336,,0.2564102564102564,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7RKW_5TV,7rkw,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7RKW_5TV_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7RKW_5TV/7RKW_5TV_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7RKW_5TV/7RKW_5TV_ligand.sdf,True,True,True,True,True,sdf,O=C(O[C@H](Cn1ccnc1)c1ccc(F)cc1)c1cc(Cl)cc(Cl)c1,O=C(OC(Cn1ccnc1)c1ccccc1)c1ccccc1,25.0,5.0,44.120000000000005,379.218,3.0,1.0,,1,450,,0.2816901408450704,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6ZCY_QF8,6zcy,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6ZCY_QF8_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6ZCY_QF8/6ZCY_QF8_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6ZCY_QF8/6ZCY_QF8_ligand.sdf,True,True,True,True,True,sdf,CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCNC5)c(C)n4)n3)cc12,c1cc(-n2cc(NC3CCNC3)cn2)nc(Nc2ccc3[nH]ncc3c2)n1,33.0,6.0,126.61,446.519,5.0,1.0,,1,265,,0.3012048192771084,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ZDY_6MJ,7zdy,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ZDY_6MJ_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ZDY_6MJ/7ZDY_6MJ_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ZDY_6MJ/7ZDY_6MJ_ligand.sdf,True,True,True,True,True,sdf,CO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O,C1CCOCC1,11.0,1.0,79.15,164.157,1.0,4.0,,2,1524,,0.3333333333333333,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7MOI_HPS,7moi,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7MOI_HPS_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7MOI_HPS/7MOI_HPS_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7MOI_HPS/7MOI_HPS_ligand.sdf,True,True,True,True,True,sdf,O=P(O)(O)Oc1ccccc1,c1ccccc1,11.0,2.0,66.75999999999999,174.092,1.0,0.0,,2,309,,0.3793103448275862,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6VTA_AKN,6vta,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6VTA_AKN_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6VTA_AKN/6VTA_AKN_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6VTA_AKN/6VTA_AKN_ligand.sdf,True,True,True,True,True,sdf,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,40.0,10.0,331.93999999999994,585.6080000000002,3.0,16.0,,2,361,,0.4558823529411764,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7KQU_YOF,7kqu,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7KQU_YOF_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7KQU_YOF/7KQU_YOF_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7KQU_YOF/7KQU_YOF_ligand.sdf,True,True,True,True,True,sdf,N[C@@H](Cc1ccc(O)c(F)c1)C(=O)O,c1ccccc1,14.0,3.0,83.55000000000001,199.181,1.0,1.0,,2,602,,0.5128205128205128,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7DKT_GLF,7dkt,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7DKT_GLF_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7DKT_GLF/7DKT_GLF_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7DKT_GLF/7DKT_GLF_ligand.sdf,True,True,True,True,True,sdf,OC[C@H]1O[C@H](F)[C@H](O)[C@@H](O)[C@@H]1O,C1CCOCC1,12.0,1.0,90.15,182.147,1.0,5.0,,1,769,,0.6086956521739131,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7OMX_CNA,7omx,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7OMX_CNA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7OMX_CNA/7OMX_CNA_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7OMX_CNA/7OMX_CNA_ligand.sdf,True,True,True,True,True,sdf,NC(=O)c1ccc[n+]([C@@H]2C[C@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,O=[PH](OCC1CCC([n+]2ccccc2)C1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,44.0,11.0,309.0299999999999,662.4660000000001,5.0,10.0,,1,196,,0.735632183908046,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ZZB_KGX,7zzb,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ZZB_KGX_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7ZZB_KGX/7ZZB_KGX_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ZZB_KGX/7ZZB_KGX_ligand.sdf,True,True,True,True,True,sdf,NCCNC(=O)NC[C@H]1O[C@@H](n2c(C#CCN(CC(=O)O)C[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)nc3c(N)ncnc32)[C@H](O)[C@@H]1O,C(#Cc1nc2cncnc2n1C1CCCO1)CNCC1CCC(n2cnc3cncnc32)O1,51.0,11.0,346.31,712.6850000000001,6.0,8.0,,1,264,,0.8641975308641975,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8AUH_L9I,8auh,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8AUH_L9I_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8AUH_L9I/8AUH_L9I_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8AUH_L9I/8AUH_L9I_ligand.sdf,True,True,True,True,True,sdf,CCOC(=O)/C(=N\O)C(C)=O,,11.0,3.0,75.96000000000001,159.141,0.0,0.0,,2,725,,1.0,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7TSF_H4B,7tsf,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7TSF_H4B_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7TSF_H4B/7TSF_H4B_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7TSF_H4B/7TSF_H4B_ligand.sdf,True,True,True,True,True,sdf,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,O=c1[nH]cnc2c1NCCN2,17.0,2.0,136.29,241.251,2.0,3.0,,2,821,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7NLV_UJE,7nlv,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7NLV_UJE_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7NLV_UJE/7NLV_UJE_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7NLV_UJE/7NLV_UJE_ligand.sdf,True,True,True,True,True,sdf,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)N[C@H]1CCNC1,O=C(CCCCC1SCC2NC(=O)NC21)NC1CCNC1,21.0,6.0,82.26,312.43900000000014,3.0,4.0,,4,473,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8CNH_V6U,8cnh,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8CNH_V6U_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8CNH_V6U/8CNH_V6U_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8CNH_V6U/8CNH_V6U_ligand.sdf,True,True,True,True,True,sdf,COC(=O)c1ccccc1Cc1cn(C)nc1-c1cc(Cl)nc(N)n1,c1ccc(Cc2c[nH]nc2-c2ccncn2)cc1,25.0,4.0,95.92000000000002,357.80100000000004,3.0,0.0,,1,452,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7RH8_UTP,7rh8,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7RH8_UTP_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7RH8_UTP/7RH8_UTP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7RH8_UTP/7RH8_UTP_ligand.sdf,True,True,True,True,True,sdf,O=c1ccn([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,29.0,8.0,264.36999999999995,484.14000000000016,2.0,6.0,,1,212,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ZXZ_K9R,7zxz,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ZXZ_K9R_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7ZXZ_K9R/7ZXZ_K9R_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ZXZ_K9R/7ZXZ_K9R_ligand.sdf,True,True,True,True,True,sdf,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)N[C@@H]1CC(=O)[C@H](c2cc(CS)cc(CS)c2)C1=O,O=C(CCCCC1SCC2NC(=O)NC21)NC1CC(=O)C(c2ccccc2)C1=O,33.0,9.0,104.36999999999998,507.7030000000003,4.0,5.0,,2,247,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7UTW_NAI,7utw,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7UTW_NAI_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7UTW_NAI/7UTW_NAI_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7UTW_NAI/7UTW_NAI_ligand.sdf,True,True,True,True,True,sdf,NC(=O)C1=CN([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,O=[PH](OCC1CCC(N2C=CCC=C2)O1)O[PH](=O)OCC1CCC(n2cnc3cncnc32)O1,44.0,11.0,317.6199999999999,665.4460000000001,5.0,10.0,,2,748,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
