dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1YGC_905,1ygc,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YGC_905_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1YGC_905/1YGC_905_protein.pdb,external/PoseBench/data/astex_diverse_set/1YGC_905/1YGC_905_ligand.sdf,True,True,True,True,True,sdf,CCOc1cc(OCC)c(F)c([C@@H](Nc2ccc(C(=N)N)c(O)c2)C(=O)NS(=O)(=O)c2cccc(N)c2)c1,O=C(NS(=O)(=O)c1ccccc1)C(Nc1ccccc1)c1ccccc1,38.0,11.0,189.85,545.5930000000002,3.0,1.0,,2,307,,0.2888888888888888,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7N4N_0BK,7n4n,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7N4N_0BK_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7N4N_0BK/7N4N_0BK_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7N4N_0BK/7N4N_0BK_ligand.sdf,True,True,True,True,True,sdf,COc1cc(C(=O)Nc2ccc(F)c([C@]3(CF)CC[C@@](C)(S(C)(=O)=O)C(N)=N3)c2)ncn1,O=C(Nc1cccc(C2CCCC=N2)c1)c1ccncn1,32.0,6.0,136.63,467.49800000000016,3.0,2.0,,2,478,,0.2475247524752475,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7LCU_XTA,7lcu,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7LCU_XTA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7LCU_XTA/7LCU_XTA_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7LCU_XTA/7LCU_XTA_ligand.sdf,True,True,True,True,True,sdf,CN1CCN(c2ncc(Oc3cc(CN4CCC(CC(=O)O)CC4)cc(-c4cc(Cl)cc(Cl)c4)n3)cn2)CC1,c1ccc(-c2cc(CN3CCCCC3)cc(Oc3cnc(N4CCNCC4)nc3)n2)cc1,39.0,8.0,94.92000000000002,571.5090000000002,5.0,0.0,,1,470,,0.2702702702702703,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7KC5_BJZ,7kc5,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7KC5_BJZ_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7KC5_BJZ/7KC5_BJZ_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7KC5_BJZ/7KC5_BJZ_ligand.sdf,True,True,True,True,True,sdf,CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1,O=C1NC2(CN(c3ccccn3)CC2c2ccccc2)C(=O)N1c1ccccc1,37.0,4.0,117.84,536.3750000000002,5.0,2.0,,2,364,,0.2906976744186046,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7LOE_Y84,7loe,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7LOE_Y84_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7LOE_Y84/7LOE_Y84_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7LOE_Y84/7LOE_Y84_ligand.sdf,True,True,True,True,True,sdf,Fc1cccc2ccccc12,c1ccc2ccccc2c1,11.0,0.0,0.0,146.16399999999996,2.0,0.0,,1,163,,0.3142857142857143,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7UP3_NZ0,7up3,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7UP3_NZ0_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7UP3_NZ0/7UP3_NZ0_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7UP3_NZ0/7UP3_NZ0_ligand.sdf,True,True,True,True,True,sdf,NS(=O)(=O)c1nccc(-c2ccc(CO)cc2)c1-c1nn[nH]n1,c1ccc(-c2ccncc2-c2nn[nH]n2)cc1,23.0,4.0,147.74,332.345,3.0,0.0,,2,457,,0.3636363636363636,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7THI_PGA,7thi,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7THI_PGA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7THI_PGA/7THI_PGA_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7THI_PGA/7THI_PGA_ligand.sdf,True,True,True,True,True,sdf,O=C(O)COP(=O)(O)O,,9.0,3.0,104.06000000000002,156.03,0.0,0.0,,2,509,,0.4285714285714285,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8BRO_R7E,8bro,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8BRO_R7E_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8BRO_R7E/8BRO_R7E_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8BRO_R7E/8BRO_R7E_ligand.sdf,True,True,True,True,True,sdf,C[C@@H]1O[C@H](NC(=O)c2ccc(-c3cccc(CN)c3)o2)[C@@H](O)[C@H](O)[C@@H]1O,O=C(NC1CCCCO1)c1ccc(-c2ccccc2)o1,26.0,4.0,138.18,362.3820000000002,3.0,5.0,,1,131,,0.4814814814814814,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7WY1_D0L,7wy1,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7WY1_D0L_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7WY1_D0L/7WY1_D0L_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7WY1_D0L/7WY1_D0L_ligand.sdf,True,True,True,True,True,sdf,CCCCCCCN1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,O=C(NCCc1ccccc1)C1CCCN1,26.0,11.0,69.64,360.4980000000002,2.0,2.0,,2,908,,0.5666666666666667,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8E77_ULP,8e77,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8E77_ULP_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/8E77_ULP/8E77_ULP_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8E77_ULP/8E77_ULP_ligand.sdf,True,True,True,True,True,sdf,CC(=O)N[C@H]1[C@@H](O[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](C(=O)O)[C@@H](O)[C@@H]1/N=C/c1c(COP(=O)(O)O)cnc(C)c1O,O=c1ccn(C2CCC(CO[PH](=O)O[PH](=O)OC3CC(N=Cc4ccncc4)CCO3)O2)c(=O)[nH]1,55.0,15.0,414.9400000000001,849.4820000000003,4.0,11.0,,1,358,,0.6736842105263158,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,5SIS_JSM,5sis,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/5SIS_JSM_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/5SIS_JSM/5SIS_JSM_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/5SIS_JSM/5SIS_JSM_ligand.sdf,True,True,True,True,True,sdf,CNCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2c1,O=C(Nc1ccn2cc(-c3ccccc3)nc2c1)c1ccn[nH]1,32.0,7.0,96.56,431.50000000000006,4.0,0.0,,1,315,,0.8235294117647058,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7M31_TDR,7m31,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7M31_TDR_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7M31_TDR/7M31_TDR_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7M31_TDR/7M31_TDR_ligand.sdf,True,True,True,True,True,sdf,Cc1c[nH]c(=O)[nH]c1=O,O=c1cc[nH]c(=O)[nH]1,9.0,0.0,65.72,126.11499999999998,1.0,0.0,,4,4046,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7NTG_F6R,7ntg,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7NTG_F6R_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7NTG_F6R/7NTG_F6R_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7NTG_F6R/7NTG_F6R_ligand.sdf,True,True,True,True,True,sdf,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,,16.0,7.0,164.75,260.135,0.0,3.0,,1,402,,1.0,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7Q19_DSM,7q19,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7Q19_DSM_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7Q19_DSM/7Q19_DSM_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7Q19_DSM/7Q19_DSM_ligand.sdf,True,True,True,True,True,sdf,CNCCCN1c2ccccc2CCc2ccccc21,c1ccc2c(c1)CCc1ccccc1N2,20.0,4.0,15.27,266.388,3.0,0.0,,1,158,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7EN7_J79,7en7,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7EN7_J79_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7EN7_J79/7EN7_J79_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7EN7_J79/7EN7_J79_ligand.sdf,True,True,True,True,True,sdf,CC(=O)N[C@@H]1[C@@H](O[C@H](C)C(=O)O)[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]1O,C1CCOCC1,24.0,7.0,192.08,373.251,1.0,6.0,,1,191,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7WQQ_5Z6,7wqq,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7WQQ_5Z6_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7WQQ_5Z6/7WQQ_5Z6_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7WQQ_5Z6/7WQQ_5Z6_ligand.sdf,True,True,True,True,True,sdf,CC(C)(C)c1cc(C(=O)/C=C/c2ccc(C(=O)O)cc2)cc(C(C)(C)C)c1,O=C(C=Cc1ccccc1)c1ccccc1,27.0,4.0,54.370000000000005,364.48500000000007,2.0,0.0,,2,237,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7SIU_9ID,7siu,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7SIU_9ID_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7SIU_9ID/7SIU_9ID_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7SIU_9ID/7SIU_9ID_ligand.sdf,True,True,True,True,True,sdf,Cn1cc(Nc2ncc(C3=CCC[C@@H](NC(=O)c4ccccc4)C3)nc2C(N)=O)cn1,O=C(NC1CCC=C(c2cnc(Nc3cn[nH]c3)cn2)C1)c1ccccc1,31.0,6.0,127.82,417.4730000000002,4.0,1.0,,2,579,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7QK0_EBL,7qk0,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7QK0_EBL_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7QK0_EBL/7QK0_EBL_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7QK0_EBL/7QK0_EBL_ligand.sdf,True,True,True,True,True,sdf,C[C@H]1C[C@@H](O)CN(c2ncc(Cl)c(Nc3ccc4c(c3)c3c(c(=O)n4C)OCC(F)(F)[C@H](C4CC4)N3)n2)C1,O=c1[nH]c2ccc(Nc3ccnc(N4CCCCC4)n3)cc2c2c1OCCC(C1CC1)N2,38.0,4.0,104.54,547.0060000000001,6.0,3.0,,1,131,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
