baseline,setting,tag,dataset,mol_id,ligand_heavy_atoms,status,success_2a,rmsd,runtime_sec
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1XOQ_ROF,26.0,ok,False,31.18482942603533,93.037
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1R1H_BIR,29.0,ok,False,7.671260014091747,98.314
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1LPZ_CMB,32.0,ok,False,5.955247653470825,54.95
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,astex_diverse,1KZK_JE2,41.0,ok,False,5.363871209126079,48.095
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7A9E_R4W,6.0,ok,False,2.9828010477055114,42.757
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7OP9_06K,11.0,failed_no_prediction_cif,False,,38.104
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7NTG_F6R,16.0,ok,False,12.696289927622331,50.096
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7RWO_7WN,20.0,ok,False,5.92060625013189,49.991
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,8A1H_DLZ,23.0,ok,False,18.430990347603114,58.229
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7AVI_S2Q,27.0,ok,False,6.307552817959173,139.058
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,5SB2_1K2,30.0,ok,False,8.86274218370691,40.989
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7VWF_K55,33.0,ok,False,68.6978088850634,90.592
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,7ROU_66I,39.0,ok,False,10.882430585608095,41.818
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,posebusters_benchmark,8F4J_PHO,64.0,failed_no_prediction_cif,False,,167.757
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,3ub7_1_ACM_1,4.0,ok,True,1.5906595652751379,40.525
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,2xrh_1_NIO_1,9.0,ok,False,6.2904149624421,40.233
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,6uqy_2_AT3_0,10.0,ok,False,6.080186226364027,45.756
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,4qo5_1_NAG_2,14.0,ok,False,19.16408331728919,103.594
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,4xdr_1_ADN_0,19.0,ok,False,10.238528889077122,91.488
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,6rms_1_AMP_1,23.0,ok,False,52.53908431284404,90.04
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,6ryz_1_SAM_2,27.0,ok,False,8.882229266382158,88.053
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,3jqm_1_GTP_5,32.0,ok,False,9.03157786328206,77.314
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,3ad7_1_NAD_0,44.0,ok,False,15.43034605536423,175.041
Boltz-2,higher_budget_subset,sensitivity_r3_s200_seed101,dockgen,4bc9_1_CNV-FAD_0,57.0,ok,False,13.414230364513163,270.415
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1N2J_PAF,10.0,ok,False,18.299242939503504,80.982
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1HQ2_PH2,14.0,ok,False,10.062289714004313,94.338
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1W2G_THM,17.0,ok,False,15.834313773379709,85.696
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1L2S_STC,19.0,ok,False,19.753087315722652,105.402
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1OWE_675,22.0,ok,False,13.102760206758404,79.098
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1T9B_1CS,23.0,ok,False,9.656778078735462,123.783
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1XOQ_ROF,26.0,ok,False,7.772053639674193,86.219
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1R1H_BIR,29.0,ok,False,15.583109988803557,99.697
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1LPZ_CMB,32.0,ok,False,6.158880345882725,83.657
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,astex_diverse,1KZK_JE2,41.0,ok,False,16.431781105789636,76.778
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7A9E_R4W,6.0,ok,False,6.599542980856634,70.6
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7OP9_06K,11.0,failed_no_prediction_cif,False,,80.852
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7NTG_F6R,16.0,ok,False,7.4168186545370824,73.173
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7RWO_7WN,20.0,ok,False,14.664547858120667,76.352
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,8A1H_DLZ,23.0,ok,False,22.140777525808424,69.732
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7AVI_S2Q,27.0,ok,False,30.231724791694013,96.932
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,5SB2_1K2,30.0,ok,False,19.115771777384275,88.691
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7VWF_K55,33.0,ok,False,18.429492297466194,68.055
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,7ROU_66I,39.0,ok,False,14.267761294564751,82.269
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,posebusters_benchmark,8F4J_PHO,64.0,failed_no_prediction_cif,False,,96.552
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,3ub7_1_ACM_1,4.0,ok,False,,75.676
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,2xrh_1_NIO_1,9.0,ok,False,3.9811413690716604,79.69
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,6uqy_2_AT3_0,10.0,ok,False,,71.863
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,4qo5_1_NAG_2,14.0,ok,False,9.155702720499436,87.7
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,4xdr_1_ADN_0,19.0,ok,False,13.061699124280892,74.577
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,6rms_1_AMP_1,23.0,ok,False,13.766601165886762,82.313
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,6ryz_1_SAM_2,27.0,ok,False,15.116436573190894,86.242
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,3jqm_1_GTP_5,32.0,ok,False,27.63552490516366,101.451
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,3ad7_1_NAD_0,44.0,ok,False,15.420687713290722,93.189
Protenix,low_budget_full_protocol,full_base_c1_s20_n1,dockgen,4bc9_1_CNV-FAD_0,57.0,ok,False,,114.649
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1N2J_PAF,10.0,ok,False,14.22992119306032,118.338
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1HQ2_PH2,14.0,ok,False,4.493516871240433,107.378
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1W2G_THM,17.0,ok,False,11.433002462932944,111.407
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1L2S_STC,19.0,ok,False,9.310481893382288,129.633
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1OWE_675,22.0,ok,False,12.259811631945547,86.017
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1T9B_1CS,23.0,ok,False,7.749500015320476,163.882
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1XOQ_ROF,26.0,ok,False,27.009629875979503,102.938
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1R1H_BIR,29.0,ok,False,20.857305865535753,105.615
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1LPZ_CMB,32.0,ok,False,19.733347697262683,68.912
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,astex_diverse,1KZK_JE2,41.0,ok,False,9.825105803427268,72.322
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7A9E_R4W,6.0,ok,False,14.948770841725285,75.297
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7OP9_06K,11.0,failed_no_prediction_cif,False,,81.916
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7NTG_F6R,16.0,ok,False,6.556997776346141,76.316
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7RWO_7WN,20.0,ok,False,10.88509879383693,70.593
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,8A1H_DLZ,23.0,ok,False,10.159481924454521,80.961
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7AVI_S2Q,27.0,ok,False,39.48274530539755,113.237
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,5SB2_1K2,30.0,ok,False,8.464417077801826,68.667
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7VWF_K55,33.0,ok,False,12.634820481688966,79.174
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,7ROU_66I,39.0,ok,False,11.328698202967555,77.8
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,posebusters_benchmark,8F4J_PHO,64.0,failed_no_prediction_cif,False,,128.468
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,3ub7_1_ACM_1,4.0,ok,False,,101.607
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,2xrh_1_NIO_1,9.0,ok,False,4.968161575315789,106.475
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,6uqy_2_AT3_0,10.0,ok,False,,106.958
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,4qo5_1_NAG_2,14.0,ok,False,13.585886943021412,89.233
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,4xdr_1_ADN_0,19.0,ok,False,12.258028595499889,89.662
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,6rms_1_AMP_1,23.0,ok,False,14.527648251187111,92.01
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,6ryz_1_SAM_2,27.0,ok,False,38.85405924294059,99.549
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,3jqm_1_GTP_5,32.0,ok,False,14.645077021370023,67.014
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,3ad7_1_NAD_0,44.0,ok,False,14.541512440778185,113.81
Protenix,higher_budget_subset,sensitivity_c3_s50_n1_seed101,dockgen,4bc9_1_CNV-FAD_0,57.0,ok,False,,135.566
