dataset,mol_id,pdb_id,case_dir_exists,manifest_protein_input,has_manifest_protein_input,protein_pdb,ligand_file,has_protein,has_ligand,has_start_conf,has_ligands_sdf,has_required_case_files,ligand_source,ligand_smiles,ligand_scaffold,ligand_heavy_atoms,ligand_rot_bonds,ligand_tpsa,ligand_mol_wt,ligand_rings,ligand_chiral_centers,ligand_error,protein_chains,protein_aa_length,protein_error,max_train_ligand_tanimoto,train_scaffold_exact_match,train_pdb_id_overlap,subset_protocol
astex_diverse,1N46_PFA,1n46,True,external/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N46_PFA_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/astex_diverse_set/1N46_PFA/1N46_PFA_protein.pdb,external/PoseBench/data/astex_diverse_set/1N46_PFA/1N46_PFA_ligand.sdf,True,True,True,True,True,sdf,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,O=c1cnn(-c2ccc(Oc3ccccc3)cc2)c(=O)[nH]1,27.0,4.0,97.21,367.4050000000001,3.0,0.0,,2,487,,0.2608695652173913,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7UQ3_O2U,7uq3,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7UQ3_O2U_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7UQ3_O2U/7UQ3_O2U_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7UQ3_O2U/7UQ3_O2U_ligand.sdf,True,True,True,True,True,sdf,O=C(O)C[C@@H]1CC(=O)N(O)C1=O,O=C1CCC(=O)N1,12.0,2.0,94.91,173.12399999999997,1.0,1.0,,1,228,,0.2333333333333333,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7AA0_R6B,7aa0,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7AA0_R6B_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7AA0_R6B/7AA0_R6B_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7AA0_R6B/7AA0_R6B_ligand.sdf,True,True,True,True,True,sdf,CC(C)N1CCC(C)(C)c2cc(-c3ccc(/C=C/C(=O)O)cc3)ccc21,c1ccc(-c2ccc3c(c2)CCCN3)cc1,26.0,4.0,40.54,349.47400000000005,3.0,0.0,,2,275,,0.2580645161290322,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7JY3_VUD,7jy3,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7JY3_VUD_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7JY3_VUD/7JY3_VUD_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7JY3_VUD/7JY3_VUD_ligand.sdf,True,True,True,True,True,sdf,C[C@H](Oc1cc2cc(F)ccc2nc1N)c1[nH]c(=O)ccc1-n1cccn1,O=c1ccc(-n2cccn2)c(COc2cnc3ccccc3c2)[nH]1,27.0,4.0,98.82,365.3680000000001,4.0,1.0,,4,574,,0.2842105263157894,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7B2C_TP7,7b2c,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7B2C_TP7_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7B2C_TP7/7B2C_TP7_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7B2C_TP7/7B2C_TP7_ligand.sdf,True,True,True,True,True,sdf,C[C@@H](OP(=O)(O)O)[C@H](NC(=O)CCCCCCS)C(=O)O,,21.0,11.0,133.16,343.3380000000001,0.0,2.0,,6,2632,,0.3043478260869565,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7RNI_60I,7rni,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7RNI_60I_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7RNI_60I/7RNI_60I_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7RNI_60I/7RNI_60I_ligand.sdf,True,True,True,True,True,sdf,Cc1nn(C)c(C)c1C(=O)N1CCN(Cc2nc3ccccc3n2CC(C)(C)C)CC1,O=C(c1cn[nH]c1)N1CCN(Cc2nc3ccccc3[nH]2)CC1,31.0,4.0,59.190000000000005,422.5770000000002,4.0,0.0,,2,719,,0.3375,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7WN5_JGL,7wn5,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7WN5_JGL_holo_aligned_predicted_protein.pdb,False,external/PoseBench/data/posebusters_benchmark_set/7WN5_JGL/7WN5_JGL_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7WN5_JGL/7WN5_JGL_ligand.sdf,True,True,True,True,True,sdf,CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3cc(-c4cnc[nH]4)oc23)c1,O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2oc(-c3cnc[nH]3)cc12,37.0,7.0,119.22,526.5210000000004,5.0,0.0,,2,236,,0.3883495145631068,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7ZOC_T8E,7zoc,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7ZOC_T8E_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7ZOC_T8E/7ZOC_T8E_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7ZOC_T8E/7ZOC_T8E_ligand.sdf,True,True,True,True,True,sdf,CC(=O)c1ccc(NC(=O)[C@H](C)S)cc1,c1ccccc1,15.0,3.0,46.17,223.297,1.0,1.0,,1,378,,0.4615384615384615,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7NSW_HC4,7nsw,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7NSW_HC4_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7NSW_HC4/7NSW_HC4_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7NSW_HC4/7NSW_HC4_ligand.sdf,True,True,True,True,True,sdf,O=C(O)/C=C/c1ccc(O)cc1,c1ccccc1,12.0,2.0,57.53,164.16,1.0,0.0,,2,655,,0.53125,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,6ZK5_IMH,6zk5,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/6ZK5_IMH_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/6ZK5_IMH/6ZK5_IMH_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/6ZK5_IMH/6ZK5_IMH_ligand.sdf,True,True,True,True,True,sdf,OC[C@H]1N[C@@H](c2c[nH]c3c(O)ncnc23)[C@H](O)[C@@H]1O,c1ncc2[nH]cc(C3CCCN3)c2n1,19.0,2.0,134.51999999999998,266.257,3.0,4.0,,2,632,,0.6382978723404256,False,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7VWF_K55,7vwf,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7VWF_K55_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7VWF_K55/7VWF_K55_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7VWF_K55/7VWF_K55_ligand.sdf,True,True,True,True,True,sdf,CCCCOc1ccc(C[C@H](CC)C(=O)O)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,O=C(NCc1ccccc1)c1ccccc1,33.0,11.0,75.63,469.4750000000001,2.0,1.0,,2,516,,0.7424242424242424,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,8BOM_QU6,8bom,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/8BOM_QU6_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/8BOM_QU6/8BOM_QU6_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/8BOM_QU6/8BOM_QU6_ligand.sdf,True,True,True,True,True,sdf,COc1cccc(NC(=O)c2ccc(C)c(Nc3nc(-c4cccnc4)nc4c3cnn4C)c2)c1,O=C(Nc1ccccc1)c1cccc(Nc2nc(-c3cccnc3)nc3[nH]ncc23)c1,35.0,6.0,106.85,465.51700000000017,5.0,0.0,,1,267,,0.8840579710144928,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7BCP_GCO,7bcp,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7BCP_GCO_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7BCP_GCO/7BCP_GCO_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7BCP_GCO/7BCP_GCO_ligand.sdf,True,True,True,True,True,sdf,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,,13.0,5.0,138.45000000000002,196.155,0.0,4.0,,1,310,,1.0,False,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7WUX_6OI,7wux,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7WUX_6OI_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7WUX_6OI/7WUX_6OI_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7WUX_6OI/7WUX_6OI_ligand.sdf,True,True,True,True,True,sdf,N[C@@H](CC[C@H](O)[C@@H](N)COS(=O)(=O)O)C(=O)O,,17.0,8.0,173.17,272.27899999999994,0.0,3.0,,4,1056,,1.0,False,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7KB1_WBJ,7kb1,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7KB1_WBJ_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7KB1_WBJ/7KB1_WBJ_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7KB1_WBJ/7KB1_WBJ_ligand.sdf,True,True,True,True,True,sdf,C=C/C(=N\Cc1c(COP(=O)(O)O)cnc(C)c1O)C(=O)O,c1ccncc1,22.0,7.0,149.54,330.233,1.0,0.0,,4,1712,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7RC3_SAH,7rc3,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7RC3_SAH_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7RC3_SAH/7RC3_SAH_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7RC3_SAH/7RC3_SAH_ligand.sdf,True,True,True,True,True,sdf,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,c1ncc2ncn(C3CCCO3)c2n1,26.0,7.0,182.63000000000005,384.4180000000001,3.0,5.0,,1,374,,1.0,True,False,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7QHL_D5P,7qhl,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7QHL_D5P_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7QHL_D5P/7QHL_D5P_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7QHL_D5P/7QHL_D5P_ligand.sdf,True,True,True,True,True,sdf,NCCSc1nc(NCc2ccc(-n3cccn3)cc2)c2[nH]nc(C3CCC3)c2n1,c1cnn(-c2ccc(CNc3ncnc4c(C5CCC5)n[nH]c34)cc2)c1,30.0,8.0,110.32999999999998,420.5460000000001,5.0,0.0,,4,1084,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7T1D_E7K,7t1d,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7T1D_E7K_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7T1D_E7K/7T1D_E7K_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7T1D_E7K/7T1D_E7K_ligand.sdf,True,True,True,True,True,sdf,Cc1cn(-c2ccc3c(c2)CN(c2ncc(Cc4ccc(-n5cccn5)cc4)s2)CC3)c(C)n1,c1cnn(-c2ccc(Cc3cnc(N4CCc5ccc(-n6ccnc6)cc5C4)s3)cc2)c1,34.0,5.0,51.77,466.6140000000002,6.0,0.0,,2,590,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
posebusters_benchmark,7F8T_FAD,7f8t,True,external/PoseBench/data/posebusters_benchmark_set/posebusters_benchmark_holo_aligned_predicted_structures/7F8T_FAD_holo_aligned_predicted_protein.pdb,True,external/PoseBench/data/posebusters_benchmark_set/7F8T_FAD/7F8T_FAD_protein.pdb,external/PoseBench/data/posebusters_benchmark_set/7F8T_FAD/7F8T_FAD_ligand.sdf,True,True,True,True,True,sdf,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,53.0,13.0,362.93000000000006,785.5570000000005,6.0,9.0,,1,458,,1.0,True,True,PoseBench proportional stratified subset; native ligand center; fixed 24A box
