dataset,mol_id,strategy,generator_group,k,n_candidates,baseline_method,baseline_success,baseline_rmsd,selector_method,selector_success,selector_rmsd,oracle_method,oracle_success,oracle_rmsd,oracle_method_original,oracle_success_original,oracle_rmsd_original,oracle_endpoint_rule
astex_diverse,1GPK_HUP,same_generator,DiffDock,2,2,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep2,True,0.4458089756586095,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,2,2,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DynamicBind,2,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,RFAA,2,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,cross_generator_balanced,,4,4,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Boltz,4,4,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Chai,4,4,public_chai_relaxedFalse_rep1,False,8.57493160508368,public_chai_relaxedTrue_rep1,False,8.423822336286605,public_chai_relaxedTrue_rep2,False,8.234955901812336,public_chai_relaxedTrue_rep2,False,8.234955901812336,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DiffDock,4,4,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep2,True,0.4458089756586095,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,4,4,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DynamicBind,4,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,RFAA,4,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,cross_generator_balanced,,8,8,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Boltz,8,8,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,public_boltz_ss_relaxedFalse_rep2,False,4.109973705849927,public_boltz_ss_relaxedFalse_rep2,False,4.109973705849927,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Chai,8,7,public_chai_relaxedFalse_rep1,False,8.57493160508368,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DiffDock,8,7,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,8,6,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DynamicBind,8,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,RFAA,8,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,cross_generator_balanced,,16,16,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_diffdock_relaxedFalse_rep2,True,0.4458089756586095,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Boltz,16,14,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,Boltz-2 full receptor r1/s20,False,3.833897712422905,Boltz-2 full receptor r1/s20,False,3.833897712422905,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Chai,16,7,public_chai_relaxedFalse_rep1,False,8.57493160508368,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DiffDock,16,7,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,16,6,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DynamicBind,16,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,RFAA,16,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,cross_generator_balanced,,32,32,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Boltz,32,14,public_boltz_ss_relaxedFalse_rep1,False,4.189439138145132,public_boltz_relaxedFalse_rep1,False,4.449748342696847,Boltz-2 full receptor r1/s20,False,3.833897712422905,Boltz-2 full receptor r1/s20,False,3.833897712422905,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,Chai,32,7,public_chai_relaxedFalse_rep1,False,8.57493160508368,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165,Chai-1 full receptor s5/t200,False,4.5069043679441165,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DiffDock,32,7,DiffDock-L default s10/t20,True,0.369399857877612,public_diffdock_relaxedFalse_rep1,True,0.4410124639206176,DiffDock-L default s10/t20,True,0.369399857877612,DiffDock-L default s10/t20,True,0.369399857877612,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,NeuralPlexer,32,6,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,public_neuralplexer_relaxedTrue_rep3,False,3.5862582222515256,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,DynamicBind,32,2,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,public_dynamicbind_relaxedFalse_rep-1,True,0.4048937048439032,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1GPK_HUP,same_generator,RFAA,32,2,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,public_rfaa_relaxedFalse_rep1,False,,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,cross_generator_balanced,,1,1,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Boltz,1,1,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Chai,1,1,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DiffDock,1,1,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,1,1,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DynamicBind,1,1,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,RFAA,1,1,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,cross_generator_balanced,,2,2,public_boltz_relaxedFalse_rep1,False,45.71918603772537,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Boltz,2,2,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Chai,2,2,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep3,False,45.922618818524725,public_chai_relaxedFalse_rep1,False,45.807873926781305,public_chai_relaxedFalse_rep1,False,45.807873926781305,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DiffDock,2,2,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,2,2,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedFalse_rep2,False,44.722096481317664,public_neuralplexer_relaxedFalse_rep2,False,44.722096481317664,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DynamicBind,2,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,RFAA,2,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,cross_generator_balanced,,4,4,public_boltz_relaxedFalse_rep1,False,45.71918603772537,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Boltz,4,4,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep3,False,43.99081165377444,public_boltz_relaxedFalse_rep3,False,43.99081165377444,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Chai,4,4,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DiffDock,4,4,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,4,4,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep2,False,43.248850937337046,public_neuralplexer_relaxedTrue_rep2,False,43.248850937337046,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DynamicBind,4,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,RFAA,4,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,cross_generator_balanced,,8,8,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep3,True,1.1410671070787837,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Boltz,8,8,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_boltz_ss_relaxedFalse_rep1,False,38.68424561580039,public_boltz_ss_relaxedFalse_rep1,False,38.68424561580039,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Chai,8,7,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DiffDock,8,7,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,8,6,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedFalse_rep1,False,3.605194097211887,public_neuralplexer_relaxedTrue_rep1,False,3.605194097211887,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DynamicBind,8,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,RFAA,8,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,cross_generator_balanced,,16,16,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep3,True,1.1410671070787837,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Boltz,16,14,public_boltz_relaxedFalse_rep1,False,45.71918603772537,Boltz-2 full receptor r1/s20,False,33.321233685931354,Boltz-1 full receptor r1/s20,False,16.830455140226917,Boltz-1 full receptor r1/s20,False,16.830455140226917,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Chai,16,7,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DiffDock,16,7,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,NeuralPlexer,16,6,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedTrue_rep3,False,44.81426534582965,public_neuralplexer_relaxedFalse_rep1,False,3.605194097211887,public_neuralplexer_relaxedTrue_rep1,False,3.605194097211887,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DynamicBind,16,2,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedFalse_rep-1,False,45.35074928144596,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,public_dynamicbind_relaxedTrue_rep-1,False,45.33833299207983,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,RFAA,16,2,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,public_rfaa_relaxedFalse_rep1,True,1.2312065534031482,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,cross_generator_balanced,,32,32,public_boltz_relaxedFalse_rep1,False,45.71918603772537,public_vina_relaxedFalse_rep2,True,1.1058418254240272,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Boltz,32,14,public_boltz_relaxedFalse_rep1,False,45.71918603772537,Boltz-2 full receptor r1/s20,False,33.321233685931354,Boltz-1 full receptor r1/s20,False,16.830455140226917,Boltz-1 full receptor r1/s20,False,16.830455140226917,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,Chai,32,7,public_chai_relaxedFalse_rep3,False,45.922618818524725,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,Chai-1 full receptor s5/t200,False,45.7275376688583,any retained candidate satisfies the same frozen success_2a endpoint
astex_diverse,1HNN_SKF,same_generator,DiffDock,32,7,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,DiffDock-L default s10/t20,True,0.4611847886538691,any retained candidate satisfies the same frozen success_2a endpoint
