"query_id","fold"
"7udq__1__1.A__1.C|1.C","1"
"7ue6__1__1.A_2.A__2.C_2.F_2.G_2.H|2.G","1"
"7ugl__1__1.A__1.C|1.C","1"
"7ujy__1__1.B__1.F|1.F","1"
"7um8__1__1.A_2.B__1.C_1.D|1.C","1"
"7utw__1__1.A_1.B__1.C_1.E_1.F|1.E","1"
"7v1o__1__1.A__1.D|1.D","1"
"7vds__1__1.A__1.E|1.E","1"
"7vqt__1__1.A__1.G_1.H|1.H","1"
"7vwf__1__1.A_1.B__1.C_1.E|1.E","1"
"7vzy__1__1.A_1.B__1.C_1.D_1.E_1.M|1.C","1"
"7w3l__1__1.A__1.B_1.C_1.J|1.B","1"
"7wc6__1__1.A__1.F|1.F","1"
"7wgl__1__1.A__1.D|1.D","1"
"7wqm__1__1.A__1.C_1.D|1.C","1"
"7wzx__1__1.A__1.B_1.D_1.E_1.I|1.I","1"
"7x1o__1__1.A__1.C_1.D|1.C","1"
"7xxc__1__1.A_1.B_1.D__1.M|1.M","1"
"7y3s__1__1.B__1.G_1.H_1.J_1.K|1.H","1"
"7ya4__1__1.A__1.E_1.F|1.E","1"
"7yh9__1__1.A__1.G_1.H_1.I|1.I","1"
"7yj9__1__1.A_2.A__2.B|2.B","1"
"7ypu__1__1.A_1.B__1.J_1.K|1.J","1"
"7z0w__1__1.A_1.B__1.J_1.K|1.J","1"
"7z1r__1__1.A_2.A__1.B|1.B","1"
"7z3k__1__1.A__1.D_1.DA_1.E_1.F_1.P|1.DA","1"
"7z3y__1__1.A__1.D|1.D","1"
"7z6c__1__1.A__1.B_1.C_1.D|1.B","1"
"7z9t__1__1.A__1.C|1.C","1"
"7za0__1__1.A__1.B|1.B","1"
"7zif__1__1.A__1.B_1.C|1.C","1"
"7zks__1__1.A__1.B|1.B","1"
"7zzw__1__1.A__1.E_1.M|1.M","1"
"8a9i__1__1.A__1.B|1.B","1"
"8acm__1__1.A__1.E|1.E","1"
"8adj__1__1.A__1.D|1.D","1"
"8akd__1__1.A__1.C_1.E|1.C","1"
"8akd__1__1.A__1.C_1.E|1.E","1"
"8akg__1__1.A__1.F_1.O|1.O","1"
"8atl__1__1.A__1.C|1.C","1"
"8aui__1__1.A_1.B__1.C_1.D_1.G|1.G","1"
"8aya__1__1.A_1.B__1.C|1.C","1"
"8azl__1__1.A__1.C|1.C","1"
"8azo__1__1.A__1.C|1.C","1"
"8b5s__1__1.B__1.D|1.D","1"
"8b72__1__1.A_1.B__1.F_1.G|1.F","1"
"8bgx__1__1.A_1.D__1.E_1.F_1.I|1.F","1"
"8bh0__1__1.A_1.D__1.J|1.J","1"
"8bi6__1__1.A__1.D|1.D","1"
"8bl0__1__1.A__1.C_1.E|1.C","1"
"8blz__1__1.A__1.B_1.D|1.B","1"
"8bst__1__1.A__1.R|1.R","1"
"8bvx__1__1.A__1.D_1.F|1.D","1"
"8c3u__1__1.A__1.C|1.C","1"
"8c6f__1__1.A__1.B_1.C|1.B","1"
"8c6o__1__1.A__1.C|1.C","1"
"8cfo__1__1.A_1.D__1.E_1.F_1.K|1.F","1"
"8ci0__1__1.A_1.B__1.D_1.E|1.E","1"
"8cjj__1__1.A__1.B_1.C|1.C","1"
"8cjo__1__1.A__1.B_1.C|1.C","1"
"8clq__1__1.A__1.E|1.E","1"
"8cov__1__1.A__1.D|1.D","1"
"8cow__1__1.B__1.I_1.J|1.I","1"
"8cp9__1__1.A__1.C_1.D|1.C","1"
"8cpb__1__1.B__1.H|1.H","1"
"8crl__1__1.A__1.C|1.C","1"
"8d3h__1__1.A__1.C_1.D|1.D","1"
"8dil__1__1.A_1.B__1.K_1.L_1.M|1.L","1"
"8dkp__1__1.A__1.C_1.D|1.C","1"
"8dkp__1__1.A__1.C_1.D|1.D","1"
"8dq8__1__1.B__1.F_1.G|1.F","1"
"8dt5__1__1.B__1.I_1.M_1.O|1.O","1"
"8e1o__1__1.A__1.D|1.D","1"
"8e9e__1__1.A_1.B__1.I_1.J_1.K|1.I","1"
"8eef__1__1.A__1.C_1.D|1.C","1"
"8ex2__1__1.A__1.B|1.B","1"
"8eym__1__1.A_1.B__1.C_1.E|1.C","1"
"8fdb__1__1.A_1.B__1.D_1.F_1.H|1.H","1"
"8fdz__1__1.A__1.B_1.C|1.B","1"
"8fe6__1__1.A__1.I|1.I","1"
"8fen__1__1.A__1.B_1.C|1.C","1"
"8fev__1__1.A__1.C_1.D|1.C","1"
"8fjt__1__1.A_1.B__1.C_1.E|1.E","1"
"8fts__1__2.A__2.B_2.C_2.D|2.D","1"
"8fve__1__1.A_2.A_2.B__2.E_2.I|2.E","1"
"8g63__1__1.A__1.B|1.B","1"
"8gb4__1__1.A__1.E_1.F_1.G|1.F","1"
"8gev__1__1.A__1.B|1.B","1"
"8gkf__1__1.A__1.J|1.J","1"
"8gtg__1__1.A__1.C|1.C","1"
"8gyd__1__1.A_1.B__1.K|1.K","1"
"8h53__1__1.A__1.E_1.F_1.P_1.Q|1.E","1"
"8hd3__1__1.A__1.C|1.C","1"
"8hy6__1__1.A__1.C_1.D_1.E|1.E","1"
"8i19__1__1.A__1.C_1.D_1.E|1.C","1"
"8i2n__1__1.A__1.C|1.C","1"
"8im2__1__1.E__1.S_1.T_1.U|1.T","1"
"8ina__1__1.A__1.B_1.C|1.B","1"
"8iqt__1__1.A__1.B|1.B","1"
"8ivt__1__1.A_1.B__1.F|1.F","1"
"8iw6__1__1.A_1.B__1.F|1.F","1"
"8j7j__1__1.A_1.B__1.C|1.C","1"
"8jb3__1__1.A__1.C_1.D_1.E_1.F|1.D","1"
"8jdg__1__1.A__1.B_1.C|1.C","1"
"8jdn__1__1.A__1.B_1.C|1.B","1"
"8jdq__1__1.A__1.B_1.C|1.C","1"
"8jdy__1__1.A__1.B_1.C_1.D|1.B","1"
"8jjs__1__1.A__1.C_1.D|1.C","1"
"8jkp__1__2.A__2.B_2.C_2.D_2.E|2.B","1"
"8jpz__1__1.B__1.N_1.P|1.N","1"
"8jye__1__1.A_1.B_1.D__1.P|1.P","1"
"8k9y__1__1.A__1.C_1.E|1.C","1"
"8ke4__1__2.A__2.B_2.C_2.D_2.E|2.B","1"
"8oo2__1__1.A_1.B__1.C_1.D|1.C","1"
"8oqp__1__1.D__1.PA|1.PA","1"
"8ou2__1__1.A__1.C|1.C","1"
"8oun__1__1.A__1.C_1.D|1.C","1"
"8p0e__1__1.A__1.C|1.C","1"
"8p0p__1__1.A__1.C|1.C","1"
"8p1e__1__1.D_1.E__1.P|1.P","1"
"8p1p__1__1.A__1.E|1.E","1"
"8paf__1__1.A_1.B__1.C|1.C","1"
"8pj0__1__1.A_1.B__1.V|1.V","1"
"8pp8__1__1.A__1.D|1.D","1"
"8ppf__1__1.A__1.D|1.D","1"
"8px9__1__1.A_1.B__1.C_1.D|1.D","1"
"8pyn__1__1.A__1.B|1.B","1"
"8q34__1__1.A__1.F|1.F","1"
"8q9v__1__2.A__2.C_2.D_2.E|2.C","1"
"8qdz__1__1.A_2.A__2.B|2.B","1"
"8qhq__1__1.A_1.B__1.G|1.G","1"
"8qkb__1__1.D__1.CA_1.HA|1.CA","1"
"8qqy__1__1.A__1.B|1.B","1"
"8qtt__1__1.C__1.D_1.V|1.D","1"
"8qyq__1__1.A__1.H|1.H","1"
"8qyu__1__1.A__1.K_1.L|1.L","1"
"8r1n__1__1.A__1.C|1.C","1"
"8r3o__1__1.A_1.B__1.E_1.F_1.G|1.E","1"
"8r4q__1__1.A__1.M_1.N|1.M","1"
"8sk0__1__1.B__1.G_1.H|1.H","1"
"8skn__1__1.A__1.C|1.C","1"
"8sv9__1__1.A__1.C|1.C","1"
"8svl__1__1.A__1.B_1.C_1.G|1.C","1"
"8swe__1__1.A__1.E|1.E","1"
"8t1q__1__1.A__1.B_1.F_1.G|1.B","1"
"8tc8__1__1.A__1.E_1.H_1.L|1.E","1"
"8tce__1__1.A__1.C|1.C","1"
"8u2r__1__1.A__1.C|1.C","1"
"8ug1__1__1.B__1.H|1.H","1"
"8ug3__1__1.A_1.B__1.C|1.C","1"
"8v8e__1__1.A__1.D|1.D","1"
"8v8m__1__1.A__1.F_1.G|1.G","1"
"8vw1__1__1.A__1.B_1.C|1.B","1"
"8wrj__1__1.A__1.B|1.B","1"
"8wsw__1__1.A__1.E|1.E","1"
"9f40__1__1.A__1.Q|1.Q","1"
"5s9z__1__1.A_1.B__1.R|1.R","2"
"5scm__1__1.A__1.F_1.G_1.H_1.I|1.I","2"
"5shw__1__1.A__1.G|1.G","2"
"5skr__1__1.A__1.G|1.G","2"
"5umb__1__1.A__1.E_1.F_1.G|1.G","2"
"6zfz__1__1.A__1.B|1.B","2"
"6zk5__1__1.A_1.B__1.F_1.G|1.F","2"
"7aya__1__1.A__1.H_1.N_1.U|1.U","2"
"7b3p__1__1.A__1.G|1.G","2"
"7bm3__1__1.A__1.M_1.P|1.P","2"
"7dbj__1__1.A__1.E_1.F|1.E","2"
"7e48__1__1.C__1.J_1.K|1.J","2"
"7eer__1__2.A__2.E_2.F|2.E","2"
"7ere__1__1.A_1.B__1.G_1.I|1.G","2"
"7ev3__1__2.A__2.B_2.C_2.D|2.B","2"
"7f6j__1__1.A__1.D_1.E|1.E","2"
"7f9a__1__1.A__1.C_1.O|1.O","2"
"7far__1__1.A__1.B_1.C_1.D|1.D","2"
"7fgm__1__1.A__1.C_1.D_1.E|1.C","2"
"7ftz__1__1.A__1.D|1.D","2"
"7fu6__1__1.A__1.C|1.C","2"
"7fur__1__1.A__1.C_1.D_1.E_1.F|1.E","2"
"7fwe__1__1.A__1.B|1.B","2"
"7fy8__1__1.A__1.I_1.J|1.I","2"
"7fys__1__1.A__1.B|1.B","2"
"7g0g__1__1.A__1.B|1.B","2"
"7g0t__1__1.A__1.B|1.B","2"
"7g10__1__1.A__1.D|1.D","2"
"7gb8__1__1.A_2.A__1.F|1.F","2"
"7gbz__1__1.A_2.A__2.F|2.F","2"
"7gcq__1__1.A_2.A__1.F|1.F","2"
"7gdz__1__1.A_2.A__1.E|1.E","2"
"7gee__1__1.A_2.A__2.E|2.E","2"
"7gek__1__1.A_2.A__1.E|1.E","2"
"7gew__1__1.A_2.A__1.E|1.E","2"
"7gfz__1__1.A_2.A__2.E_2.F|2.E","2"
"7gh5__1__1.A_2.A__1.B|1.B","2"
"7gi9__1__1.A_1.B__1.F|1.F","2"
"7gim__1__1.A_1.B__1.E_1.F|1.F","2"
"7gis__1__1.A_1.B__1.E_1.F|1.F","2"
"7gj8__1__1.A_1.B__1.E_1.F|1.F","2"
