dataset,mol_id,gpu,pid,log_path,tag,command,start_time,status,exit_code,elapsed_sec
astex_diverse,1HVY_D16,1,121562,logs/chai_default_s5_t200_astex_diverse_1HVY_D16.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HVY_D16 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103429.909357,finished,0,50.053
posebusters_benchmark,6T88_MWQ,4,122431,logs/chai_default_s5_t200_posebusters_benchmark_6T88_MWQ.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6T88_MWQ --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103449.9316783,finished,0,120.135
dockgen,1i8t_1_FAD_1,0,123458,logs/chai_default_s5_t200_dockgen_1i8t_1_FAD_1.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1i8t_1_FAD_1 --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103479.9641633,finished,0,120.136
astex_diverse,1HWI_115,5,123459,logs/chai_default_s5_t200_astex_diverse_1HWI_115.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWI_115 --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103479.9656389,finished,0,70.079
posebusters_benchmark,6TW5_9M2,1,123460,logs/chai_default_s5_t200_posebusters_benchmark_6TW5_9M2.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6TW5_9M2 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103479.9667563,finished,0,60.064
dockgen,1o28_1_UFP_2,3,125534,logs/chai_default_s5_t200_dockgen_1o28_1_UFP_2.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1o28_1_UFP_2 --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103489.978441,finished,0,200.226
astex_diverse,1HWW_SWA,6,125535,logs/chai_default_s5_t200_astex_diverse_1HWW_SWA.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HWW_SWA --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103489.9796247,finished,0,50.052
posebusters_benchmark,6TW7_NZB,2,127041,logs/chai_default_s5_t200_posebusters_benchmark_6TW7_NZB.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6TW7_NZB --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103510.000652,finished,0,120.136
dockgen,1o72_2_PC_0,1,128031,logs/chai_default_s5_t200_dockgen_1o72_2_PC_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1o72_2_PC_0 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103540.033194,finished,0,70.08
astex_diverse,1IA1_TQ3,6,128032,logs/chai_default_s5_t200_astex_diverse_1IA1_TQ3.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1IA1_TQ3 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103540.034606,finished,0,120.134
posebusters_benchmark,6VS3_R6V,5,129461,logs/chai_default_s5_t200_posebusters_benchmark_6VS3_R6V.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6VS3_R6V --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103550.0468545,finished,0,190.212
dockgen,1pj2_1_FUM_0,4,130317,logs/chai_default_s5_t200_dockgen_1pj2_1_FUM_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1pj2_1_FUM_0 --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103570.068846,finished,0,50.056
astex_diverse,1IG3_VIB,7,131655,logs/chai_default_s5_t200_astex_diverse_1IG3_VIB.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1IG3_VIB --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103590.0903616,finished,0,190.213
posebusters_benchmark,6VTA_AKN,0,132400,logs/chai_default_s5_t200_posebusters_benchmark_6VTA_AKN.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6VTA_AKN --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103600.1026301,finished,0,110.124
dockgen,1pj4_1_FUM_1,1,133134,logs/chai_default_s5_t200_dockgen_1pj4_1_FUM_1.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1pj4_1_FUM_1 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103610.114603,finished,0,50.055
astex_diverse,1J3J_CP6,4,133869,logs/chai_default_s5_t200_astex_diverse_1J3J_CP6.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1J3J_CP6 --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103620.1267304,finished,0,60.066
posebusters_benchmark,6W59_SZD,2,134596,logs/chai_default_s5_t200_posebusters_benchmark_6W59_SZD.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6W59_SZD --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103630.1387277,finished,0,180.194
dockgen,1qaw_1_TRP_7,6,135493,logs/chai_default_s5_t200_dockgen_1qaw_1_TRP_7.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1qaw_1_TRP_7 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103660.1710854,finished,0,80.088
astex_diverse,1JD0_AZM,1,135494,logs/chai_default_s5_t200_astex_diverse_1JD0_AZM.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1JD0_AZM --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103660.1723967,finished,0,190.207
posebusters_benchmark,6WTN_RXT,4,136973,logs/chai_default_s5_t200_posebusters_benchmark_6WTN_RXT.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6WTN_RXT --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103680.1939547,finished,0,90.098
dockgen,1rqp_1_SAM_0,3,137685,logs/chai_default_s5_t200_dockgen_1rqp_1_SAM_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1rqp_1_SAM_0 --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103690.2059174,finished,0,180.195
astex_diverse,1JJE_BYS,0,138565,logs/chai_default_s5_t200_astex_diverse_1JJE_BYS.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1JJE_BYS --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103710.2282453,finished,0,120.128
posebusters_benchmark,6X8D_ARA,5,139579,logs/chai_default_s5_t200_posebusters_benchmark_6X8D_ARA.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6X8D_ARA --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103740.2605486,finished,0,70.072
dockgen,1sbz_1_FMN_3,6,139580,logs/chai_default_s5_t200_dockgen_1sbz_1_FMN_3.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1sbz_1_FMN_3 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103740.2614937,finished,0,100.107
astex_diverse,1JLA_TNK,4,141127,logs/chai_default_s5_t200_astex_diverse_1JLA_TNK.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1JLA_TNK --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103770.2937953,finished,0,280.313
posebusters_benchmark,6XAF_GDP,7,141876,logs/chai_default_s5_t200_posebusters_benchmark_6XAF_GDP.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XAF_GDP --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103780.3060334,finished,0,100.107
dockgen,1sij_1_PCD_0,2,142869,logs/chai_default_s5_t200_dockgen_1sij_1_PCD_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1sij_1_PCD_0 --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103810.3347147,finished,0,290.316
astex_diverse,1K3U_IAD,5,142870,logs/chai_default_s5_t200_astex_diverse_1K3U_IAD.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1K3U_IAD --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103810.3363419,finished,0,190.214
posebusters_benchmark,6XBO_5MC,0,144397,logs/chai_default_s5_t200_posebusters_benchmark_6XBO_5MC.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XBO_5MC --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103830.3580923,finished,0,90.1
dockgen,1tke_1_SER_0,6,145153,logs/chai_default_s5_t200_dockgen_1tke_1_SER_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1tke_1_SER_0 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103840.3698125,finished,0,70.076
astex_diverse,1KE5_LS1,1,145915,logs/chai_default_s5_t200_astex_diverse_1KE5_LS1.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1KE5_LS1 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103850.3819332,finished,0,90.098
posebusters_benchmark,6XCT_478,3,146802,logs/chai_default_s5_t200_posebusters_benchmark_6XCT_478.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XCT_478 --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103870.4033208,finished,0,90.101
dockgen,1tkg_1_SSA_0,7,147521,logs/chai_default_s5_t200_dockgen_1tkg_1_SSA_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1tkg_1_SSA_0 --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103880.4151187,finished,0,70.077
astex_diverse,1KZK_JE2,6,148473,logs/chai_default_s5_t200_astex_diverse_1KZK_JE2.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1KZK_JE2 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103910.4478478,finished,0,70.078
posebusters_benchmark,6XG5_TOP,0,149243,logs/chai_default_s5_t200_posebusters_benchmark_6XG5_TOP.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XG5_TOP --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103920.4597735,finished,0,70.078
dockgen,1u8u_1_OCA_0,1,150073,logs/chai_default_s5_t200_dockgen_1u8u_1_OCA_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1u8u_1_OCA_0 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103940.4820282,finished,0,70.08
astex_diverse,1L2S_STC,7,150822,logs/chai_default_s5_t200_astex_diverse_1L2S_STC.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1L2S_STC --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103950.4941137,finished,0,190.203
posebusters_benchmark,6XHT_V2V,3,151564,logs/chai_default_s5_t200_posebusters_benchmark_6XHT_V2V.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XHT_V2V --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103960.5059383,finished,0,70.079
dockgen,1uf5_1_CDT_0,6,152521,logs/chai_default_s5_t200_dockgen_1uf5_1_CDT_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1uf5_1_CDT_0 --gpu 6 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103980.5281315,finished,0,180.192
astex_diverse,1L7F_BCZ,0,153252,logs/chai_default_s5_t200_astex_diverse_1L7F_BCZ.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1L7F_BCZ --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779103990.5402343,finished,0,120.122
posebusters_benchmark,6XM9_V55,5,153991,logs/chai_default_s5_t200_posebusters_benchmark_6XM9_V55.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XM9_V55 --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104000.5523994,finished,0,120.122
dockgen,1uf7_1_CDV_0,1,154758,logs/chai_default_s5_t200_dockgen_1uf7_1_CDV_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1uf7_1_CDV_0 --gpu 1 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104010.5646505,finished,0,180.188
astex_diverse,1LPZ_CMB,3,155943,logs/chai_default_s5_t200_astex_diverse_1LPZ_CMB.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1LPZ_CMB --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104030.5869093,finished,0,100.099
posebusters_benchmark,6XUM_30L,4,156746,logs/chai_default_s5_t200_posebusters_benchmark_6XUM_30L.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6XUM_30L --gpu 4 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104050.609251,finished,0,90.088
dockgen,1uf8_1_ING_2,2,157816,logs/chai_default_s5_t200_dockgen_1uf8_1_ING_2.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1uf8_1_ING_2 --gpu 2 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104100.6524885,finished,0,190.215
astex_diverse,1LRH_NLA,0,158538,logs/chai_default_s5_t200_astex_diverse_1LRH_NLA.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1LRH_NLA --gpu 0 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104110.6640275,finished,0,190.216
posebusters_benchmark,6Y7L_QMG,5,159269,logs/chai_default_s5_t200_posebusters_benchmark_6Y7L_QMG.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6Y7L_QMG --gpu 5 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104120.6759057,finished,0,70.076
dockgen,1v2g_1_OCA_0,3,160036,logs/chai_default_s5_t200_dockgen_1v2g_1_OCA_0.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1v2g_1_OCA_0 --gpu 3 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104130.687285,finished,0,70.078
astex_diverse,1M2Z_DEX,7,160849,logs/chai_default_s5_t200_astex_diverse_1M2Z_DEX.log,default_s5_t200,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1M2Z_DEX --gpu 7 --tag default_s5_t200 --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 200 --num-diffn-samples 5 --num-trunk-samples 1,1779104140.6994572,finished,0,190.215
