dataset,mol_id,gpu,pid,log_path,tag,command,start_time,status,exit_code,elapsed_sec
dockgen,3ju4_1_SLB_2,0,87974,logs/chai_smoke_s1_t50_dockgen_3ju4_1_SLB_2.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 3ju4_1_SLB_2 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102117.651514,finished,0,70.073
astex_diverse,1HNN_SKF,1,88717,logs/chai_smoke_s1_t50_astex_diverse_1HNN_SKF.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HNN_SKF --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102127.6637414,finished,0,70.072
posebusters_benchmark,5SIS_JSM,0,89885,logs/chai_smoke_s1_t50_posebusters_benchmark_5SIS_JSM.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 5SIS_JSM --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102187.7260804,finished,0,50.052
dockgen,4cnl_1_CHT_1,1,90584,logs/chai_smoke_s1_t50_dockgen_4cnl_1_CHT_1.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 4cnl_1_CHT_1 --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102197.7380068,finished,0,40.041
astex_diverse,1HP0_AD3,0,91858,logs/chai_smoke_s1_t50_astex_diverse_1HP0_AD3.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HP0_AD3 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102237.780738,finished,0,70.074
posebusters_benchmark,6M2B_EZO,1,91859,logs/chai_smoke_s1_t50_posebusters_benchmark_6M2B_EZO.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6M2B_EZO --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102237.7825422,finished,0,50.05
dockgen,1hg0_1_SIN_1,1,93603,logs/chai_smoke_s1_t50_dockgen_1hg0_1_SIN_1.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1hg0_1_SIN_1 --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102287.8350608,finished,0,70.073
astex_diverse,1HQ2_PH2,0,94424,logs/chai_smoke_s1_t50_astex_diverse_1HQ2_PH2.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset astex_diverse --case-id 1HQ2_PH2 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102307.8572898,finished,0,50.051
posebusters_benchmark,6M73_FNR,1,95794,logs/chai_smoke_s1_t50_posebusters_benchmark_6M73_FNR.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 6M73_FNR --gpu 1 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102357.909966,finished,0,50.052
dockgen,1i8t_1_FAD_1,0,95795,logs/chai_smoke_s1_t50_dockgen_1i8t_1_FAD_1.log,smoke_s1_t50,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 1i8t_1_FAD_1 --gpu 0 --tag smoke_s1_t50 --seed 1 --num-trunk-recycles 1 --num-diffn-timesteps 50 --num-diffn-samples 1 --num-trunk-samples 1,1779102357.9116068,finished,0,50.051
