dataset,mol_id,failure_class,gpu,pid,source_tag,target_tag,runner_extra_args,log_path,command,start_time,status,exit_code,elapsed_sec
dockgen,5dnc_1_ASN_2,cuda_oom,3,812186,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_dockgen_5dnc_1_ASN_2.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset dockgen --case-id 5dnc_1_ASN_2 --gpu 3 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121905.5787916,finished,0,60.069
posebusters_benchmark,7A9H_TPP,cuda_oom,4,812187,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7A9H_TPP.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7A9H_TPP --gpu 4 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121905.5806737,finished,0,60.068
posebusters_benchmark,7B2C_TP7,cuda_oom,6,812188,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7B2C_TP7.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7B2C_TP7 --gpu 6 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121905.5821521,finished,0,60.066
posebusters_benchmark,7CIJ_G0C,cuda_oom,7,812189,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7CIJ_G0C.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7CIJ_G0C --gpu 7 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121905.5836737,finished,0,60.065
posebusters_benchmark,7D6O_MTE,cuda_oom,5,816567,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7D6O_MTE.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7D6O_MTE --gpu 5 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121945.6276433,finished,0,50.064
posebusters_benchmark,7FRX_O88,cuda_oom,1,817337,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7FRX_O88.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7FRX_O88 --gpu 1 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121965.6512878,finished,0,60.074
posebusters_benchmark,7KRU_ATP,cuda_oom,2,817338,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7KRU_ATP.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7KRU_ATP --gpu 2 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121965.6525872,finished,0,60.073
posebusters_benchmark,7M31_TDR,cuda_oom,3,817339,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7M31_TDR.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7M31_TDR --gpu 3 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121965.6542284,finished,0,60.072
posebusters_benchmark,7NF0_BYN,cuda_oom,4,817340,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7NF0_BYN.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7NF0_BYN --gpu 4 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121965.655958,finished,0,50.057
posebusters_benchmark,7PT3_3KK,cuda_oom,6,817341,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7PT3_3KK.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7PT3_3KK --gpu 6 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121965.6579082,finished,0,60.068
posebusters_benchmark,7SUC_COM,cuda_oom,7,817342,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_7SUC_COM.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 7SUC_COM --gpu 7 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121965.6598678,finished,0,60.066
posebusters_benchmark,8F4J_PHO,cuda_oom,5,821418,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_8F4J_PHO.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 8F4J_PHO --gpu 5 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779121995.6931944,finished,0,50.053
posebusters_benchmark,8FV9_80J,cuda_oom,4,822206,oracle_pocket_crop_s5_t200,oracle_pocket_crop_s1_t100_noesm,--pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,logs/chai_retry_oracle_pocket_crop_s1_t100_noesm_cuda_oom_posebusters_benchmark_8FV9_80J.log,<REMOTE_PROJECT_ROOT>/.venv/bin/python scripts/70_run_posebench_chai_case.py --dataset posebusters_benchmark --case-id 8FV9_80J --gpu 4 --tag oracle_pocket_crop_s1_t100_noesm --seed 1 --num-trunk-recycles 3 --num-diffn-timesteps 100 --num-diffn-samples 1 --num-trunk-samples 1 --overwrite --pocket-chain-crop --chain-ligand-cutoff 12 --max-total-aa 1280 --ligand-sanitize-fallback --no-esm-embeddings,1779122015.7156644,finished,0,50.051
